                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0951      0.0402       0.027       0.856       0.794              
         0.9        0.03      0.0664      0.0949      0.0410       0.028       0.872       0.793              
         1.7        0.06      0.1301      0.0947      0.0418       0.028       0.888       0.791              
         2.6        0.09      0.1911      0.0944      0.0425       0.029       0.904       0.788              
         3.5        0.11      0.2492      0.0939      0.0432       0.029       0.920       0.784              
         4.3        0.14      0.3046      0.0932      0.0439       0.030       0.933       0.778              
         5.2        0.17      0.3571      0.0922      0.0444       0.030       0.945       0.770              
         6.1        0.20      0.4068      0.0908      0.0448       0.030       0.953       0.758              
         7.0        0.23      0.4535      0.0890      0.0450       0.030       0.958       0.743              
         7.8        0.26      0.4969      0.0869      0.0452       0.030       0.961       0.726              
         8.7        0.29      0.5371      0.0846      0.0452       0.030       0.961       0.706              
         9.6        0.32      0.5742      0.0819      0.0450       0.030       0.957       0.684              
        10.4        0.34      0.6079      0.0790      0.0447       0.030       0.951       0.659              
        11.3        0.37      0.6381      0.0757      0.0443       0.030       0.941       0.632              
        12.2        0.40      0.6647      0.0722      0.0437       0.029       0.928       0.603              
        13.0        0.43      0.6878      0.0685      0.0428       0.029       0.911       0.572              
        13.9        0.46      0.7074      0.0644      0.0418       0.028       0.889       0.538              
        14.8        0.49      0.7237      0.0601      0.0405       0.027       0.861       0.502              
        15.7        0.52      0.7367      0.0556      0.0390       0.026       0.829       0.464              
        16.5        0.55      0.7466      0.0510      0.0373       0.025       0.792       0.426              
        17.4        0.57      0.7544      0.0464      0.0353       0.024       0.750       0.387              
        18.3        0.60      0.7600      0.0416      0.0330       0.022       0.701       0.347              
        19.1        0.63      0.7633      0.0367      0.0304       0.020       0.646       0.307              
        20.0        0.66      0.7634      0.0317      0.0274       0.019       0.583       0.265              
        20.9        0.69      0.7602      0.0266      0.0241       0.016       0.513       0.222              
        21.7        0.72      0.7489      0.0214      0.0205       0.014       0.436       0.179              
        22.6        0.75      0.7217      0.0162      0.0167       0.011       0.355       0.135              
        23.5        0.77      0.6638      0.0108      0.0126       0.009       0.268       0.090              
        24.3        0.80      0.5231      0.0054      0.0083       0.006       0.176       0.045              
        25.2        0.83     -0.0046      0.0000      0.0045       0.003       0.096       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
