                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1021      0.1031       4.453      35.080      13.646              
         3.5        0.03      0.0297      0.1020      0.0985       4.254      33.511      13.628              
         6.9        0.06      0.0622      0.1018      0.0937       4.048      31.892      13.601              
        10.4        0.09      0.0982      0.1015      0.0888       3.835      30.212      13.563              
        13.9        0.11      0.1383      0.1011      0.0838       3.617      28.498      13.513              
        17.4        0.14      0.1834      0.1006      0.0786       3.393      26.730      13.446              
        20.8        0.17      0.2342      0.0999      0.0733       3.165      24.932      13.349              
        24.3        0.20      0.2915      0.0987      0.0679       2.932      23.097      13.190              
        27.8        0.23      0.3545      0.0968      0.0626       2.703      21.291      12.937              
        31.2        0.26      0.4214      0.0943      0.0577       2.490      19.618      12.596              
        34.7        0.29      0.4847      0.0914      0.0540       2.331      18.364      12.207              
        38.2        0.31      0.5410      0.0882      0.0513       2.217      17.468      11.782              
        41.7        0.34      0.5925      0.0846      0.0491       2.120      16.700      11.309              
        45.1        0.37      0.6392      0.0809      0.0471       2.034      16.027      10.807              
        48.6        0.40      0.6809      0.0768      0.0452       1.953      15.389      10.265              
        52.1        0.43      0.7173      0.0725      0.0434       1.875      14.775       9.689              
        55.5        0.46      0.7478      0.0680      0.0416       1.799      14.171       9.083              
        59.0        0.49      0.7732      0.0632      0.0398       1.720      13.547       8.450              
        62.5        0.52      0.7950      0.0585      0.0379       1.639      12.909       7.819              
        65.9        0.54      0.8146      0.0537      0.0359       1.549      12.204       7.176              
        69.4        0.57      0.8320      0.0488      0.0336       1.450      11.425       6.518              
        72.9        0.60      0.8469      0.0437      0.0311       1.341      10.567       5.844              
        76.4        0.63      0.8583      0.0386      0.0283       1.224       9.640       5.158              
        79.8        0.66      0.8664      0.0334      0.0254       1.096       8.632       4.459              
        83.3        0.69      0.8706      0.0280      0.0221       0.956       7.533       3.748              
        86.8        0.72      0.8662      0.0226      0.0187       0.807       6.359       3.022              
        90.2        0.74      0.8456      0.0171      0.0150       0.650       5.117       2.283              
        93.7        0.77      0.7989      0.0115      0.0111       0.479       3.770       1.530              
        97.2        0.80      0.6708      0.0057      0.0069       0.297       2.338       0.768              
       100.7        0.83     -0.0016      0.0000      0.0035       0.150       1.184      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
