                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1002      0.0845       2.446      22.021      10.253              
         3.0        0.03      0.0352      0.1001      0.0813       2.353      21.189      10.239              
         6.1        0.06      0.0734      0.0999      0.0779       2.255      20.300      10.218              
         9.1        0.09      0.1148      0.0996      0.0745       2.156      19.414      10.191              
        12.1        0.11      0.1600      0.0992      0.0710       2.055      18.507      10.153              
        15.2        0.14      0.2095      0.0987      0.0674       1.951      17.569      10.095              
        18.2        0.17      0.2637      0.0978      0.0637       1.844      16.606      10.007              
        21.3        0.20      0.3220      0.0965      0.0600       1.737      15.643       9.868              
        24.3        0.23      0.3835      0.0945      0.0565       1.634      14.709       9.669              
        27.3        0.26      0.4450      0.0921      0.0533       1.543      13.893       9.420              
        30.4        0.29      0.5019      0.0893      0.0510       1.475      13.277       9.139              
        33.4        0.31      0.5538      0.0863      0.0491       1.420      12.785       8.827              
        36.4        0.34      0.6015      0.0829      0.0474       1.371      12.343       8.484              
        39.5        0.37      0.6449      0.0793      0.0458       1.325      11.928       8.114              
        42.5        0.40      0.6837      0.0754      0.0442       1.280      11.522       7.717              
        45.6        0.43      0.7176      0.0713      0.0427       1.235      11.115       7.292              
        48.6        0.46      0.7464      0.0669      0.0411       1.188      10.697       6.844              
        51.6        0.49      0.7708      0.0623      0.0393       1.138      10.247       6.372              
        54.7        0.52      0.7917      0.0576      0.0375       1.086       9.776       5.897              
        57.7        0.54      0.8103      0.0529      0.0355       1.027       9.251       5.410              
        60.7        0.57      0.8266      0.0480      0.0333       0.963       8.669       4.913              
        63.8        0.60      0.8404      0.0431      0.0308       0.891       8.026       4.405              
        66.8        0.63      0.8500      0.0380      0.0282       0.815       7.338       3.888              
        69.9        0.66      0.8565      0.0329      0.0253       0.731       6.584       3.362              
        72.9        0.69      0.8590      0.0276      0.0221       0.639       5.754       2.824              
        75.9        0.72      0.8525      0.0223      0.0187       0.541       4.874       2.279              
        79.0        0.74      0.8298      0.0168      0.0151       0.437       3.935       1.722              
        82.0        0.77      0.7800      0.0113      0.0112       0.324       2.918       1.156              
        85.0        0.80      0.6469      0.0057      0.0070       0.203       1.831       0.580              
        88.1        0.83     -0.0020      0.0000      0.0036       0.104       0.939      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
