                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0967      0.0399       1.168       7.360       8.661              
         2.6        0.02      0.0520      0.0950      0.0388       1.138       7.173       8.511              
         5.2        0.04      0.1046      0.0932      0.0379       1.110       6.994       8.346              
         7.8        0.06      0.1573      0.0912      0.0370       1.083       6.828       8.173              
        10.4        0.09      0.2099      0.0891      0.0361       1.058       6.668       7.986              
        13.0        0.11      0.2619      0.0869      0.0353       1.034       6.515       7.788              
        15.6        0.13      0.3127      0.0846      0.0345       1.011       6.371       7.577              
        18.2        0.15      0.3621      0.0821      0.0337       0.989       6.230       7.355              
        20.9        0.17      0.4095      0.0795      0.0330       0.967       6.094       7.120              
        23.5        0.19      0.4548      0.0767      0.0323       0.946       5.960       6.873              
        26.1        0.21      0.4974      0.0738      0.0315       0.924       5.825       6.614              
        28.7        0.23      0.5374      0.0708      0.0308       0.902       5.688       6.342              
        31.3        0.26      0.5743      0.0676      0.0300       0.880       5.548       6.059              
        33.9        0.28      0.6080      0.0643      0.0292       0.857       5.401       5.765              
        36.5        0.30      0.6385      0.0609      0.0284       0.832       5.245       5.460              
        39.1        0.32      0.6661      0.0575      0.0275       0.806       5.081       5.149              
        41.7        0.34      0.6915      0.0539      0.0265       0.777       4.898       4.831              
        44.3        0.36      0.7147      0.0503      0.0254       0.745       4.696       4.505              
        46.9        0.38      0.7352      0.0466      0.0242       0.710       4.475       4.171              
        49.5        0.40      0.7523      0.0427      0.0230       0.672       4.238       3.830              
        52.1        0.43      0.7666      0.0388      0.0215       0.631       3.978       3.480              
        54.7        0.45      0.7778      0.0348      0.0200       0.586       3.692       3.121              
        57.4        0.47      0.7856      0.0308      0.0183       0.537       3.382       2.756              
        60.0        0.49      0.7874      0.0266      0.0165       0.484       3.049       2.383              
        62.6        0.51      0.7788      0.0224      0.0146       0.429       2.704       2.003              
        65.2        0.53      0.7565      0.0180      0.0127       0.371       2.339       1.615              
        67.8        0.55      0.7146      0.0136      0.0105       0.309       1.946       1.221              
        70.4        0.57      0.6331      0.0091      0.0083       0.243       1.531       0.819              
        73.0        0.60      0.4548      0.0046      0.0060       0.176       1.109       0.411              
        75.6        0.62     -0.0060      0.0000      0.0039       0.113       0.711      -0.003              
                                                                                                              
                                                                                                              
                                                                                                              
