                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1015      0.0428       2.753      13.348      15.372              
         3.4        0.02      0.0512      0.0998      0.0414       2.667      12.931      15.104              
         6.8        0.04      0.1033      0.0979      0.0403       2.592      12.567      14.815              
        10.2        0.06      0.1558      0.0958      0.0392       2.524      12.239      14.505              
        13.6        0.09      0.2081      0.0936      0.0383       2.462      11.938      14.173              
        16.9        0.11      0.2600      0.0913      0.0373       2.402      11.647      13.818              
        20.3        0.13      0.3108      0.0888      0.0364       2.346      11.374      13.443              
        23.7        0.15      0.3602      0.0862      0.0356       2.292      11.111      13.047              
        27.1        0.17      0.4076      0.0834      0.0348       2.241      10.863      12.632              
        30.5        0.19      0.4532      0.0805      0.0340       2.188      10.608      12.190              
        33.9        0.21      0.4962      0.0775      0.0332       2.137      10.360      11.730              
        37.3        0.23      0.5364      0.0743      0.0324       2.085      10.110      11.250              
        40.7        0.26      0.5738      0.0710      0.0316       2.032       9.853      10.751              
        44.1        0.28      0.6083      0.0676      0.0307       1.976       9.580      10.230              
        47.5        0.30      0.6399      0.0640      0.0298       1.916       9.288       9.688              
        50.8        0.32      0.6689      0.0604      0.0288       1.852       8.980       9.139              
        54.2        0.34      0.6958      0.0566      0.0277       1.782       8.642       8.575              
        57.6        0.36      0.7205      0.0528      0.0265       1.706       8.269       7.998              
        61.0        0.38      0.7431      0.0489      0.0252       1.622       7.861       7.406              
        64.4        0.40      0.7628      0.0449      0.0238       1.531       7.422       6.800              
        67.8        0.43      0.7796      0.0408      0.0223       1.433       6.949       6.181              
        71.2        0.45      0.7932      0.0366      0.0206       1.328       6.436       5.548              
        74.6        0.47      0.8031      0.0324      0.0189       1.215       5.888       4.905              
        78.0        0.49      0.8075      0.0280      0.0170       1.091       5.291       4.239              
        81.4        0.51      0.8032      0.0235      0.0150       0.963       4.669       3.565              
        84.7        0.53      0.7855      0.0190      0.0129       0.828       4.016       2.879              
        88.1        0.55      0.7492      0.0144      0.0106       0.683       3.313       2.178              
        91.5        0.57      0.6733      0.0097      0.0082       0.531       2.573       1.464              
        94.9        0.60      0.4965      0.0049      0.0058       0.375       1.817       0.735              
        98.3        0.62     -0.0088     -0.0001      0.0036       0.229       1.110      -0.008              
                                                                                                              
                                                                                                              
                                                                                                              
