                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0983      0.0422       1.645       9.426      10.657              
         2.9        0.02      0.0503      0.0966      0.0408       1.593       9.125      10.468              
         5.7        0.04      0.1017      0.0947      0.0396       1.545       8.850      10.265              
         8.6        0.06      0.1537      0.0927      0.0385       1.500       8.597      10.048              
        11.5        0.09      0.2059      0.0905      0.0374       1.459       8.357       9.816              
        14.3        0.11      0.2579      0.0883      0.0364       1.419       8.132       9.570              
        17.2        0.13      0.3090      0.0859      0.0354       1.382       7.920       9.309              
        20.1        0.15      0.3590      0.0833      0.0345       1.347       7.719       9.033              
        22.9        0.17      0.4073      0.0806      0.0337       1.313       7.526       8.742              
        25.8        0.19      0.4534      0.0778      0.0328       1.281       7.339       8.436              
        28.7        0.21      0.4970      0.0749      0.0320       1.249       7.157       8.116              
        31.6        0.23      0.5378      0.0718      0.0312       1.217       6.973       7.779              
        34.4        0.26      0.5755      0.0686      0.0304       1.185       6.791       7.431              
        37.3        0.28      0.6101      0.0652      0.0295       1.152       6.601       7.068              
        40.2        0.30      0.6413      0.0617      0.0287       1.118       6.403       6.693              
        43.0        0.32      0.6696      0.0582      0.0277       1.081       6.196       6.312              
        45.9        0.34      0.6958      0.0546      0.0267       1.042       5.968       5.922              
        48.8        0.36      0.7197      0.0509      0.0256       0.998       5.717       5.522              
        51.6        0.38      0.7411      0.0472      0.0244       0.950       5.441       5.112              
        54.5        0.40      0.7594      0.0433      0.0230       0.898       5.146       4.693              
        57.4        0.43      0.7749      0.0393      0.0216       0.842       4.824       4.265              
        60.2        0.45      0.7873      0.0353      0.0200       0.781       4.474       3.827              
        63.1        0.47      0.7963      0.0311      0.0183       0.714       4.088       3.377              
        66.0        0.49      0.7997      0.0269      0.0165       0.643       3.682       2.921              
        68.8        0.51      0.7925      0.0226      0.0146       0.569       3.258       2.455              
        71.7        0.53      0.7715      0.0183      0.0126       0.491       2.815       1.982              
        74.6        0.55      0.7310      0.0138      0.0104       0.407       2.333       1.497              
        77.4        0.57      0.6508      0.0093      0.0082       0.319       1.825       1.004              
        80.3        0.60      0.4715      0.0046      0.0059       0.229       1.309       0.503              
        83.2        0.62     -0.0066      0.0000      0.0037       0.144       0.826      -0.004              
                                                                                                              
                                                                                                              
                                                                                                              
