                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0939      0.0355       0.532       4.195       5.384              
         2.1        0.02      0.0560      0.0923      0.0350       0.526       4.142       5.292              
         4.2        0.04      0.1114      0.0905      0.0346       0.519       4.086       5.192              
         6.3        0.06      0.1657      0.0887      0.0342       0.512       4.036       5.086              
         8.3        0.09      0.2188      0.0867      0.0337       0.506       3.984       4.973              
        10.4        0.11      0.2704      0.0846      0.0333       0.499       3.932       4.852              
        12.5        0.13      0.3202      0.0824      0.0328       0.492       3.879       4.724              
        14.6        0.15      0.3680      0.0800      0.0324       0.486       3.825       4.589              
        16.7        0.17      0.4134      0.0775      0.0319       0.479       3.770       4.446              
        18.8        0.19      0.4565      0.0749      0.0314       0.471       3.711       4.295              
        20.9        0.21      0.4969      0.0721      0.0309       0.463       3.647       4.136              
        22.9        0.23      0.5347      0.0692      0.0303       0.454       3.579       3.970              
        25.0        0.26      0.5695      0.0662      0.0297       0.445       3.505       3.796              
        27.1        0.28      0.6013      0.0630      0.0290       0.435       3.423       3.613              
        29.2        0.30      0.6302      0.0597      0.0282       0.423       3.332       3.423              
        31.3        0.32      0.6564      0.0563      0.0274       0.410       3.233       3.228              
        33.4        0.34      0.6804      0.0528      0.0264       0.396       3.121       3.029              
        35.5        0.36      0.7019      0.0493      0.0254       0.380       2.997       2.824              
        37.5        0.38      0.7202      0.0456      0.0242       0.364       2.865       2.615              
        39.6        0.40      0.7350      0.0419      0.0230       0.345       2.721       2.402              
        41.7        0.43      0.7470      0.0381      0.0217       0.325       2.561       2.183              
        43.8        0.45      0.7558      0.0342      0.0202       0.303       2.385       1.959              
        45.9        0.47      0.7612      0.0302      0.0185       0.278       2.191       1.730              
        48.0        0.49      0.7602      0.0261      0.0168       0.252       1.983       1.495              
        50.1        0.51      0.7491      0.0219      0.0149       0.224       1.764       1.257              
        52.1        0.53      0.7246      0.0177      0.0130       0.194       1.532       1.013              
        54.2        0.55      0.6800      0.0134      0.0109       0.163       1.283       0.765              
        56.3        0.57      0.5957      0.0090      0.0086       0.129       1.020       0.513              
        58.4        0.60      0.4196      0.0045      0.0064       0.096       0.753       0.257              
        60.5        0.62     -0.0052      0.0000      0.0042       0.063       0.498      -0.002              
                                                                                                              
                                                                                                              
                                                                                                              
