                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1000      0.0435       2.203      11.573      12.898              
         3.1        0.02      0.0497      0.0982      0.0420       2.126      11.165      12.670              
         6.3        0.04      0.1008      0.0963      0.0406       2.057      10.806      12.424              
         9.4        0.06      0.1526      0.0943      0.0394       1.995      10.477      12.160              
        12.5        0.09      0.2047      0.0921      0.0383       1.937      10.171      11.878              
        15.6        0.11      0.2567      0.0898      0.0372       1.882       9.886      11.580              
        18.8        0.13      0.3079      0.0873      0.0362       1.831       9.618      11.263              
        21.9        0.15      0.3580      0.0847      0.0352       1.783       9.365      10.928              
        25.0        0.17      0.4064      0.0820      0.0343       1.737       9.124      10.575              
        28.2        0.19      0.4527      0.0791      0.0334       1.693       8.891      10.204              
        31.3        0.21      0.4964      0.0761      0.0326       1.650       8.665       9.815              
        34.4        0.23      0.5374      0.0729      0.0317       1.607       8.440       9.409              
        37.6        0.26      0.5754      0.0697      0.0309       1.564       8.215       8.987              
        40.7        0.28      0.6102      0.0663      0.0300       1.520       7.982       8.548              
        43.8        0.30      0.6417      0.0627      0.0291       1.473       7.739       8.094              
        46.9        0.32      0.6705      0.0592      0.0281       1.425       7.485       7.634              
        50.1        0.34      0.6971      0.0555      0.0271       1.372       7.204       7.162              
        53.2        0.36      0.7215      0.0518      0.0259       1.313       6.897       6.679              
        56.3        0.38      0.7435      0.0479      0.0247       1.250       6.564       6.186              
        59.5        0.40      0.7626      0.0440      0.0233       1.181       6.201       5.678              
        62.6        0.43      0.7788      0.0400      0.0218       1.105       5.806       5.158              
        65.7        0.45      0.7919      0.0359      0.0202       1.024       5.378       4.627              
        68.8        0.47      0.8013      0.0317      0.0185       0.936       4.914       4.084              
        72.0        0.49      0.8051      0.0274      0.0166       0.841       4.418       3.529              
        75.1        0.51      0.7993      0.0230      0.0147       0.743       3.902       2.965              
        78.2        0.53      0.7794      0.0185      0.0127       0.640       3.364       2.393              
        81.4        0.55      0.7406      0.0140      0.0105       0.530       2.783       1.809              
        84.5        0.57      0.6622      0.0094      0.0082       0.413       2.169       1.214              
        87.6        0.60      0.4834      0.0047      0.0058       0.294       1.544       0.608              
        90.7        0.62     -0.0083      0.0000      0.0036       0.183       0.960      -0.006              
                                                                                                              
                                                                                                              
                                                                                                              
