                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0906      0.0322       0.001       0.059       0.081              
         0.3        0.02      0.0588      0.0891      0.0323       0.001       0.060       0.080              
         0.5        0.04      0.1149      0.0874      0.0324       0.001       0.060       0.078              
         0.8        0.06      0.1684      0.0856      0.0325       0.001       0.060       0.077              
         1.0        0.09      0.2191      0.0838      0.0326       0.001       0.060       0.075              
         1.3        0.11      0.2670      0.0818      0.0327       0.001       0.060       0.073              
         1.6        0.13      0.3121      0.0796      0.0327       0.001       0.060       0.071              
         1.8        0.15      0.3543      0.0774      0.0326       0.001       0.060       0.069              
         2.1        0.17      0.3937      0.0750      0.0325       0.001       0.060       0.067              
         2.4        0.19      0.4301      0.0725      0.0324       0.001       0.060       0.065              
         2.6        0.21      0.4637      0.0699      0.0321       0.001       0.059       0.063              
         2.9        0.23      0.4944      0.0671      0.0318       0.001       0.059       0.060              
         3.1        0.26      0.5223      0.0642      0.0315       0.001       0.058       0.058              
         3.4        0.28      0.5472      0.0612      0.0310       0.001       0.057       0.055              
         3.7        0.30      0.5693      0.0579      0.0304       0.001       0.056       0.052              
         3.9        0.32      0.5886      0.0546      0.0297       0.001       0.055       0.049              
         4.2        0.34      0.6059      0.0513      0.0289       0.001       0.053       0.046              
         4.4        0.36      0.6206      0.0478      0.0279       0.001       0.052       0.043              
         4.7        0.38      0.6334      0.0442      0.0268       0.001       0.050       0.040              
         5.0        0.41      0.6435      0.0406      0.0256       0.001       0.047       0.036              
         5.2        0.43      0.6512      0.0369      0.0241       0.001       0.045       0.033              
         5.5        0.45      0.6557      0.0330      0.0226       0.001       0.042       0.030              
         5.8        0.47      0.6578      0.0291      0.0208       0.001       0.038       0.026              
         6.0        0.49      0.6547      0.0252      0.0189       0.001       0.035       0.023              
         6.3        0.51      0.6429      0.0211      0.0168       0.000       0.031       0.019              
         6.5        0.53      0.6187      0.0170      0.0147       0.000       0.027       0.015              
         6.8        0.55      0.5752      0.0128      0.0124       0.000       0.023       0.012              
         7.1        0.58      0.4965      0.0086      0.0100       0.000       0.018       0.008              
         7.3        0.60      0.3404      0.0043      0.0076       0.000       0.014       0.004              
         7.6        0.62     -0.0114     -0.0001      0.0053       0.000       0.010       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
