                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0939      0.0452      26.727     210.556     101.713              
         4.8        0.02      0.0484      0.0938      0.0457      26.998     212.693     101.650              
         9.6        0.05      0.0957      0.0938      0.0461      27.274     214.867     101.582              
        14.4        0.07      0.1419      0.0937      0.0466      27.561     217.129     101.488              
        19.3        0.09      0.1869      0.0936      0.0472      27.870     219.564     101.400              
        24.1        0.12      0.2306      0.0935      0.0477      28.207     222.222     101.297              
        28.9        0.14      0.2729      0.0928      0.0480      28.378     223.570     100.504              
        33.7        0.16      0.3138      0.0916      0.0481      28.436     224.021      99.245              
        38.5        0.19      0.3532      0.0900      0.0480      28.376     223.555      97.560              
        43.3        0.21      0.3913      0.0881      0.0477      28.208     222.230      95.498              
        48.2        0.24      0.4278      0.0860      0.0473      27.968     220.337      93.174              
        53.0        0.26      0.4648      0.0836      0.0466      27.524     216.838      90.567              
        57.8        0.28      0.5023      0.0808      0.0455      26.870     211.688      87.585              
        62.6        0.31      0.5383      0.0777      0.0442      26.100     205.619      84.154              
        67.4        0.33      0.5710      0.0738      0.0426      25.162     198.234      79.912              
        72.2        0.35      0.6015      0.0696      0.0409      24.158     190.317      75.433              
        77.1        0.38      0.6302      0.0654      0.0391      23.116     182.113      70.895              
        81.9        0.40      0.6534      0.0613      0.0376      22.204     174.924      66.446              
        86.7        0.42      0.6703      0.0573      0.0362      21.398     168.578      62.043              
        91.5        0.45      0.6859      0.0528      0.0345      20.364     160.428      57.240              
        96.3        0.47      0.6979      0.0484      0.0327      19.316     152.171      52.484              
       101.1        0.49      0.7066      0.0438      0.0307      18.118     142.736      47.468              
       106.0        0.52      0.7126      0.0387      0.0281      16.605     130.816      41.880              
       110.8        0.54      0.7131      0.0331      0.0252      14.874     117.177      35.906              
       115.6        0.57      0.6980      0.0276      0.0224      13.226     104.196      29.953              
       120.4        0.59      0.6644      0.0221      0.0196      11.577      91.207      23.959              
       125.2        0.61      0.6063      0.0165      0.0167       9.874      77.790      17.930              
       130.0        0.64      0.5074      0.0110      0.0138       8.168      64.347      11.952              
       134.8        0.66      0.3403      0.0059      0.0115       6.788      53.480       6.424              
       139.7        0.68     -0.0014      0.0000      0.0099       5.853      46.112      -0.022              
                                                                                                              
                                                                                                              
                                                                                                              
