                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1747      0.0928       0.180       3.787       2.891              
         1.5        0.03      0.0632      0.1748      0.0948       0.184       3.869       2.892              
         3.0        0.07      0.1238      0.1748      0.0969       0.188       3.954       2.893              
         4.5        0.10      0.1817      0.1748      0.0990       0.192       4.041       2.892              
         6.0        0.14      0.2369      0.1747      0.1012       0.197       4.130       2.890              
         7.6        0.17      0.2895      0.1743      0.1032       0.201       4.215       2.884              
         9.1        0.21      0.3395      0.1734      0.1051       0.204       4.290       2.869              
        10.6        0.24      0.3872      0.1719      0.1066       0.207       4.352       2.845              
        12.1        0.27      0.4323      0.1698      0.1078       0.209       4.400       2.810              
        13.6        0.31      0.4751      0.1670      0.1085       0.211       4.431       2.764              
        15.1        0.34      0.5153      0.1636      0.1089       0.212       4.445       2.707              
        16.6        0.38      0.5530      0.1593      0.1087       0.211       4.437       2.637              
        18.1        0.41      0.5887      0.1528      0.1068       0.208       4.362       2.529              
        19.6        0.45      0.6214      0.1454      0.1043       0.203       4.257       2.405              
        21.1        0.48      0.6510      0.1377      0.1016       0.197       4.147       2.279              
        22.7        0.51      0.6776      0.1299      0.0986       0.192       4.026       2.150              
        24.2        0.55      0.7012      0.1219      0.0954       0.185       3.894       2.017              
        25.7        0.58      0.7218      0.1137      0.0919       0.179       3.750       1.882              
        27.2        0.62      0.7395      0.1054      0.0880       0.171       3.591       1.744              
        28.7        0.65      0.7545      0.0968      0.0836       0.162       3.413       1.602              
        30.2        0.69      0.7668      0.0880      0.0788       0.153       3.215       1.457              
        31.7        0.72      0.7765      0.0791      0.0733       0.142       2.993       1.308              
        33.2        0.75      0.7829      0.0698      0.0673       0.131       2.746       1.155              
        34.7        0.79      0.7841      0.0603      0.0607       0.118       2.478       0.998              
        36.2        0.82      0.7781      0.0506      0.0536       0.104       2.186       0.838              
        37.8        0.86      0.7589      0.0408      0.0461       0.089       1.880       0.675              
        39.3        0.89      0.7119      0.0307      0.0385       0.075       1.570       0.508              
        40.8        0.93      0.6151      0.0206      0.0310       0.060       1.264       0.340              
        42.3        0.96      0.4232      0.0103      0.0235       0.046       0.958       0.171              
        43.8        0.99     -0.0033     -0.0001      0.0159       0.031       0.648      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
