                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1811      0.1729      21.498     112.910      47.952              
         6.0        0.03      0.0364      0.1812      0.1707      21.232     111.515      47.967              
        12.1        0.07      0.0739      0.1812      0.1682      20.922     109.886      47.970              
        18.1        0.10      0.1129      0.1811      0.1652      20.550     107.930      47.955              
        24.2        0.14      0.1528      0.1810      0.1627      20.239     106.300      47.937              
        30.2        0.17      0.1929      0.1810      0.1611      20.029     105.194      47.921              
        36.3        0.21      0.2342      0.1809      0.1591      19.786     103.921      47.889              
        42.3        0.24      0.2770      0.1807      0.1568      19.495     102.389      47.836              
        48.4        0.27      0.3203      0.1804      0.1547      19.244     101.074      47.776              
        54.4        0.31      0.3649      0.1801      0.1525      18.968      99.623      47.697              
        60.5        0.34      0.4102      0.1798      0.1505      18.717      98.303      47.609              
        66.5        0.38      0.4607      0.1793      0.1470      18.275      95.985      47.463              
        72.6        0.41      0.5118      0.1781      0.1434      17.829      93.642      47.155              
        78.6        0.45      0.5640      0.1723      0.1364      16.961      89.079      45.631              
        84.7        0.48      0.6078      0.1645      0.1301      16.178      84.970      43.556              
        90.7        0.51      0.6443      0.1561      0.1248      15.515      81.488      41.329              
        96.8        0.55      0.6787      0.1474      0.1193      14.841      77.948      39.038              
       102.8        0.58      0.7103      0.1379      0.1133      14.091      74.009      36.510              
       108.8        0.62      0.7407      0.1271      0.1061      13.190      69.277      33.659              
       114.9        0.65-NaN        -NaN        -NaN        -NaN        -NaN        -NaN                      
       120.9        0.69      0.7910      0.1055      0.0916      11.391      59.828      27.939              
       127.0        0.72      0.8120      0.0940      0.0835      10.384      54.539      24.899              
       133.0        0.76      0.8287      0.0836      0.0762       9.471      49.744      22.123              
       139.1        0.79      0.8428      0.0729      0.0683       8.490      44.590      19.293              
       145.1        0.82      0.8517      0.0611      0.0591       7.351      38.609      16.178              
       151.2        0.86      0.8403      0.0494      0.0504       6.270      32.932      13.069              
       157.2        0.89      0.7985      0.0375      0.0419       5.215      27.387       9.932              
       163.3        0.93      0.7042      0.0254      0.0335       4.161      21.855       6.731              
       169.3        0.96      0.5022      0.0129      0.0247       3.067      16.110       3.411              
       175.4        1.00     -0.0146     -0.0002      0.0157       1.957      10.278      -0.061              
                                                                                                              
                                                                                                              
                                                                                                              
