                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1749      0.0952       0.007       0.432       0.322              
         0.5        0.03      0.0619      0.1750      0.0970       0.007       0.440       0.322              
         1.0        0.07      0.1214      0.1750      0.0989       0.007       0.449       0.322              
         1.5        0.10      0.1785      0.1750      0.1009       0.007       0.458       0.322              
         2.0        0.14      0.2333      0.1748      0.1028       0.007       0.466       0.321              
         2.5        0.17      0.2857      0.1743      0.1047       0.008       0.475       0.320              
         3.0        0.21      0.3357      0.1733      0.1063       0.008       0.482       0.319              
         3.5        0.24      0.3834      0.1717      0.1076       0.008       0.488       0.316              
         4.0        0.27      0.4288      0.1695      0.1085       0.008       0.492       0.312              
         4.5        0.31      0.4717      0.1666      0.1091       0.008       0.495       0.306              
         5.0        0.34      0.5122      0.1631      0.1093       0.008       0.496       0.300              
         5.5        0.38      0.5502      0.1588      0.1089       0.008       0.494       0.292              
         6.0        0.41      0.5858      0.1522      0.1070       0.008       0.485       0.280              
         6.5        0.45      0.6183      0.1448      0.1044       0.008       0.474       0.266              
         7.1        0.48      0.6474      0.1371      0.1017       0.007       0.461       0.252              
         7.6        0.51      0.6732      0.1293      0.0989       0.007       0.448       0.238              
         8.1        0.55      0.6956      0.1213      0.0958       0.007       0.434       0.223              
         8.6        0.58      0.7148      0.1132      0.0923       0.007       0.419       0.208              
         9.1        0.62      0.7309      0.1048      0.0886       0.006       0.402       0.193              
         9.6        0.65      0.7442      0.0963      0.0844       0.006       0.383       0.177              
        10.1        0.69      0.7547      0.0875      0.0796       0.006       0.361       0.161              
        10.6        0.72      0.7626      0.0786      0.0742       0.005       0.337       0.144              
        11.1        0.75      0.7676      0.0694      0.0682       0.005       0.309       0.128              
        11.6        0.79      0.7681      0.0600      0.0616       0.004       0.280       0.110              
        12.1        0.82      0.7614      0.0504      0.0545       0.004       0.247       0.093              
        12.6        0.86      0.7427      0.0407      0.0470       0.003       0.213       0.075              
        13.1        0.89      0.6981      0.0308      0.0393       0.003       0.178       0.057              
        13.6        0.93      0.6046      0.0206      0.0316       0.002       0.143       0.038              
        14.1        0.96      0.4161      0.0104      0.0239       0.002       0.109       0.019              
        14.6        1.00     -0.0034     -0.0001      0.0162       0.001       0.073       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
