                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1850      0.2018      19.328     110.741      41.157              
         5.5        0.03      0.0323      0.1849      0.1966      18.830     107.888      41.143              
        11.1        0.07      0.0664      0.1848      0.1910      18.300     104.851      41.110              
        16.6        0.10      0.1025      0.1845      0.1854      17.756     101.735      41.059              
        22.2        0.14      0.1409      0.1842      0.1794      17.184      98.457      40.985              
        27.7        0.17      0.1819      0.1838      0.1733      16.603      95.130      40.891              
        33.2        0.21      0.2257      0.1833      0.1672      16.013      91.746      40.772              
        38.8        0.24      0.2727      0.1826      0.1608      15.405      88.267      40.628              
        44.3        0.27      0.3229      0.1819      0.1546      14.807      84.835      40.460              
        49.9        0.31      0.3772      0.1810      0.1481      14.191      81.308      40.261              
        55.4        0.34      0.4352      0.1800      0.1419      13.591      77.869      40.040              
        60.9        0.38      0.4968      0.1784      0.1356      12.985      74.399      39.702              
        66.5        0.41      0.5568      0.1729      0.1279      12.248      70.178      38.474              
        72.0        0.45      0.6119      0.1643      0.1197      11.470      65.718      36.549              
        77.5        0.48      0.6503      0.1554      0.1147      10.992      62.978      34.564              
        83.1        0.51      0.6820      0.1464      0.1105      10.583      60.637      32.574              
        88.6        0.55      0.7117      0.1374      0.1059      10.148      58.143      30.561              
        94.2        0.58      0.7391      0.1282      0.1012       9.690      55.517      28.518              
        99.7        0.62      0.7639      0.1187      0.0960       9.195      52.686      26.420              
       105.2        0.65      0.7868      0.1091      0.0904       8.658      49.604      24.270              
       110.8        0.69      0.8078      0.0992      0.0842       8.069      46.233      22.065              
       116.3        0.72      0.8263      0.0891      0.0777       7.442      42.637      19.823              
       121.9        0.75      0.8418      0.0788      0.0707       6.770      38.790      17.539              
       127.4        0.79      0.8531      0.0683      0.0632       6.052      34.678      15.198              
       132.9        0.82      0.8567      0.0575      0.0553       5.295      30.338      12.796              
       138.5        0.86      0.8454      0.0465      0.0472       4.518      25.884      10.343              
       144.0        0.89      0.8058      0.0352      0.0390       3.732      21.382       7.830              
       149.6        0.93      0.7138      0.0237      0.0308       2.949      16.894       5.277              
       155.1        0.96      0.5108      0.0119      0.0224       2.142      12.274       2.646              
       160.6        0.99     -0.0030      0.0000      0.0139       1.330       7.623      -0.009              
                                                                                                              
                                                                                                              
                                                                                                              
