                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1771      0.1139       1.025      12.915       8.143              
         2.5        0.03      0.0532      0.1772      0.1139       1.025      12.920       8.143              
         5.0        0.07      0.1064      0.1771      0.1140       1.026      12.930       8.142              
         7.5        0.10      0.1593      0.1771      0.1141       1.027      12.943       8.139              
        10.1        0.14      0.2121      0.1769      0.1143       1.028      12.956       8.131              
        12.6        0.17      0.2644      0.1765      0.1143       1.029      12.964       8.115              
        15.1        0.21      0.3162      0.1757      0.1142       1.027      12.950       8.079              
        17.6        0.24      0.3673      0.1743      0.1137       1.023      12.897       8.013              
        20.1        0.27      0.4175      0.1722      0.1130       1.016      12.809       7.914              
        22.6        0.31      0.4659      0.1693      0.1120       1.007      12.696       7.781              
        25.1        0.34      0.5119      0.1656      0.1108       0.997      12.566       7.614              
        27.6        0.38      0.5551      0.1612      0.1094       0.984      12.405       7.410              
        30.2        0.41      0.5951      0.1547      0.1068       0.961      12.113       7.111              
        32.7        0.45      0.6308      0.1470      0.1038       0.934      11.768       6.759              
        35.2        0.48      0.6617      0.1393      0.1010       0.908      11.448       6.405              
        37.7        0.51      0.6903      0.1314      0.0978       0.880      11.090       6.042              
        40.2        0.55      0.7167      0.1233      0.0943       0.848      10.692       5.669              
        42.7        0.58      0.7407      0.1150      0.0904       0.813      10.252       5.288              
        45.2        0.62      0.7623      0.1065      0.0861       0.775       9.766       4.897              
        47.7        0.65      0.7814      0.0978      0.0814       0.733       9.236       4.497              
        50.3        0.68      0.7981      0.0889      0.0763       0.687       8.655       4.088              
        52.8        0.72      0.8122      0.0798      0.0707       0.636       8.014       3.669              
        55.3        0.75      0.8222      0.0705      0.0646       0.581       7.322       3.240              
        57.8        0.79      0.8255      0.0610      0.0582       0.523       6.595       2.802              
        60.3        0.82      0.8217      0.0512      0.0512       0.461       5.811       2.355              
        62.8        0.86      0.8040      0.0413      0.0440       0.396       4.989       1.899              
        65.3        0.89      0.7562      0.0312      0.0367       0.331       4.166       1.434              
        67.9        0.92      0.6564      0.0209      0.0295       0.265       3.344       0.963              
        70.4        0.96      0.4556      0.0105      0.0222       0.199       2.512       0.484              
        72.9        0.99     -0.0003      0.0000      0.0148       0.133       1.675       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
