                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1822      0.1603       2.492      26.175      12.064              
         3.0        0.03      0.0398      0.1822      0.1566       2.435      25.574      12.058              
         6.0        0.07      0.0816      0.1820      0.1527       2.374      24.934      12.046              
         9.0        0.10      0.1256      0.1817      0.1487       2.311      24.274      12.026              
        12.1        0.14      0.1719      0.1813      0.1445       2.247      23.598      12.000              
        15.1        0.17      0.2207      0.1807      0.1402       2.180      22.895      11.960              
        18.1        0.21      0.2721      0.1797      0.1358       2.111      22.170      11.897              
        21.1        0.24      0.3258      0.1781      0.1311       2.038      21.408      11.791              
        24.1        0.27      0.3813      0.1756      0.1262       1.962      20.609      11.626              
        27.1        0.31      0.4378      0.1723      0.1213       1.886      19.809      11.404              
        30.2        0.34      0.4927      0.1682      0.1169       1.817      19.087      11.131              
        33.2        0.38      0.5447      0.1632      0.1129       1.755      18.433      10.803              
        36.2        0.41      0.5917      0.1563      0.1086       1.688      17.733      10.349              
        39.2        0.45      0.6315      0.1484      0.1046       1.627      17.086       9.823              
        42.2        0.48      0.6633      0.1406      0.1017       1.580      16.600       9.307              
        45.2        0.51      0.6923      0.1326      0.0984       1.530      16.072       8.779              
        48.3        0.55      0.7191      0.1244      0.0948       1.474      15.485       8.237              
        51.3        0.58      0.7437      0.1161      0.0909       1.413      14.837       7.682              
        54.3        0.62      0.7661      0.1075      0.0865       1.344      14.120       7.113              
        57.3        0.65      0.7862      0.0987      0.0817       1.269      13.334       6.530              
        60.3        0.69      0.8039      0.0897      0.0764       1.188      12.475       5.935              
        63.3        0.72      0.8191      0.0804      0.0706       1.098      11.536       5.325              
        66.4        0.75      0.8305      0.0710      0.0644       1.002      10.524       4.702              
        69.4        0.79      0.8355      0.0614      0.0579       0.900       9.458       4.066              
        72.4        0.82      0.8334      0.0517      0.0510       0.792       8.320       3.419              
        75.4        0.86      0.8172      0.0417      0.0437       0.679       7.132       2.759              
        78.4        0.89      0.7709      0.0316      0.0364       0.567       5.952       2.089              
        81.4        0.92      0.6717      0.0212      0.0292       0.454       4.766       1.403              
        84.5        0.96      0.4697      0.0107      0.0218       0.339       3.558       0.706              
        87.5        0.99     -0.0030      0.0000      0.0143       0.222       2.330      -0.003              
                                                                                                              
                                                                                                              
                                                                                                              
