                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1869      0.2045       5.048      45.450      16.841              
         3.5        0.03      0.0325      0.1867      0.1973       4.869      43.842      16.823              
         7.0        0.07      0.0674      0.1864      0.1898       4.685      42.182      16.795              
        10.6        0.10      0.1051      0.1860      0.1821       4.495      40.475      16.754              
        14.1        0.14      0.1460      0.1853      0.1742       4.299      38.707      16.698              
        17.6        0.17      0.1907      0.1845      0.1659       4.096      36.878      16.624              
        21.1        0.21      0.2396      0.1834      0.1575       3.889      35.011      16.525              
        24.7        0.24      0.2931      0.1818      0.1489       3.676      33.097      16.377              
        28.2        0.27      0.3509      0.1792      0.1401       3.459      31.142      16.141              
        31.7        0.31      0.4124      0.1755      0.1314       3.243      29.195      15.811              
        35.2        0.34      0.4747      0.1709      0.1235       3.048      27.443      15.397              
        38.8        0.38      0.5344      0.1654      0.1168       2.883      25.958      14.904              
        42.3        0.41      0.5879      0.1582      0.1108       2.735      24.622      14.256              
        45.8        0.45      0.6316      0.1500      0.1059       2.614      23.533      13.512              
        49.3        0.48      0.6644      0.1421      0.1027       2.535      22.823      12.800              
        52.9        0.51      0.6938      0.1340      0.0994       2.453      22.086      12.073              
        56.4        0.55      0.7211      0.1257      0.0957       2.361      21.261      11.325              
        59.9        0.58      0.7462      0.1172      0.0916       2.261      20.358      10.561              
        63.4        0.62      0.7692      0.1085      0.0871       2.149      19.352       9.774              
        67.0        0.65      0.7902      0.0996      0.0821       2.027      18.251       8.970              
        70.5        0.69      0.8088      0.0904      0.0767       1.894      17.049       8.149              
        74.0        0.72      0.8250      0.0811      0.0708       1.749      15.745       7.310              
        77.5        0.75      0.8376      0.0716      0.0645       1.593      14.339       6.451              
        81.1        0.79      0.8440      0.0619      0.0579       1.428      12.859       5.576              
        84.6        0.82      0.8432      0.0520      0.0508       1.253      11.280       4.684              
        88.1        0.86      0.8278      0.0418      0.0433       1.070       9.630       3.768              
        91.6        0.89      0.7815      0.0315      0.0360       0.888       7.999       2.841              
        95.2        0.93      0.6791      0.0210      0.0286       0.707       6.363       1.891              
        98.7        0.96      0.4734      0.0105      0.0213       0.526       4.739       0.947              
       102.2        0.99     -0.0034      0.0000      0.0140       0.346       3.111      -0.004              
                                                                                                              
                                                                                                              
                                                                                                              
