                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1049      0.0746       4.799      23.265      15.884              
         3.8        0.02      0.0359      0.1045      0.0701       4.514      21.883      15.816              
         7.7        0.05      0.0763      0.1039      0.0656       4.223      20.472      15.730              
        11.5        0.07      0.1219      0.1030      0.0611       3.931      19.056      15.592              
        15.4        0.10      0.1720      0.1012      0.0567       3.650      17.698      15.327              
        19.2        0.12      0.2278      0.0991      0.0524       3.374      16.357      15.008              
        23.0        0.14      0.2866      0.0968      0.0488       3.142      15.233      14.654              
        26.9        0.17      0.3414      0.0943      0.0466       2.998      14.535      14.274              
        30.7        0.19      0.3948      0.0916      0.0447       2.877      13.948      13.862              
        34.6        0.22      0.4465      0.0886      0.0430       2.770      13.429      13.416              
        38.4        0.24      0.4960      0.0855      0.0415       2.672      12.956      12.940              
        42.3        0.27      0.5426      0.0821      0.0401       2.582      12.517      12.433              
        46.1        0.29      0.5857      0.0786      0.0388       2.496      12.100      11.894              
        49.9        0.31      0.6250      0.0748      0.0375       2.413      11.699      11.326              
        53.8        0.34      0.6599      0.0709      0.0362       2.332      11.303      10.730              
        57.6        0.36      0.6908      0.0668      0.0349       2.249      10.901      10.110              
        61.5        0.39      0.7181      0.0626      0.0336       2.164      10.492       9.482              
        65.3        0.41      0.7430      0.0584      0.0322       2.072      10.047       8.843              
        69.1        0.43      0.7658      0.0541      0.0306       1.971       9.557       8.187              
        73.0        0.46      0.7864      0.0496      0.0289       1.860       9.017       7.515              
        76.8        0.48      0.8044      0.0451      0.0270       1.739       8.431       6.829              
        80.7        0.51      0.8193      0.0405      0.0250       1.609       7.799       6.127              
        84.5        0.53      0.8307      0.0358      0.0228       1.469       7.123       5.416              
        88.3        0.55      0.8381      0.0309      0.0204       1.315       6.374       4.677              
        92.2        0.58      0.8392      0.0260      0.0179       1.153       5.589       3.936              
        96.0        0.60      0.8285      0.0210      0.0153       0.982       4.760       3.176              
        99.9        0.63      0.7992      0.0159      0.0124       0.801       3.883       2.403              
       103.7        0.65      0.7370      0.0107      0.0094       0.606       2.937       1.614              
       107.6        0.67      0.5740      0.0054      0.0063       0.405       1.964       0.811              
       111.4        0.70     -0.0116     -0.0001      0.0034       0.220       1.067      -0.009              
                                                                                                              
                                                                                                              
                                                                                                              
