                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0744      0.0227       0.665       4.191       6.661              
         2.1        0.02      0.0552      0.0728      0.0224       0.658       4.145       6.520              
         4.2        0.03      0.1092      0.0711      0.0222       0.651       4.100       6.372              
         6.3        0.05      0.1616      0.0694      0.0220       0.643       4.054       6.218              
         8.4        0.07      0.2123      0.0676      0.0217       0.636       4.007       6.057              
        10.4        0.09      0.2611      0.0657      0.0214       0.628       3.959       5.888              
        12.5        0.10      0.3079      0.0638      0.0212       0.620       3.910       5.714              
        14.6        0.12      0.3524      0.0617      0.0209       0.612       3.858       5.532              
        16.7        0.14      0.3947      0.0596      0.0206       0.603       3.804       5.343              
        18.8        0.15      0.4345      0.0575      0.0203       0.594       3.744       5.147              
        20.9        0.17      0.4718      0.0552      0.0199       0.584       3.681       4.945              
        23.0        0.19      0.5066      0.0529      0.0196       0.573       3.611       4.736              
        25.1        0.20      0.5389      0.0505      0.0191       0.561       3.535       4.521              
        27.2        0.22      0.5690      0.0480      0.0187       0.547       3.450       4.300              
        29.3        0.24      0.5968      0.0455      0.0182       0.532       3.356       4.074              
        31.3        0.26      0.6217      0.0429      0.0176       0.516       3.255       3.842              
        33.4        0.27      0.6437      0.0402      0.0170       0.499       3.145       3.603              
        35.5        0.29      0.6632      0.0375      0.0164       0.480       3.024       3.359              
        37.6        0.31      0.6803      0.0347      0.0157       0.459       2.892       3.113              
        39.7        0.32      0.6940      0.0319      0.0149       0.435       2.744       2.855              
        41.8        0.34      0.7053      0.0290      0.0140       0.410       2.585       2.596              
        43.9        0.36      0.7123      0.0260      0.0131       0.382       2.411       2.328              
        46.0        0.37      0.7122      0.0229      0.0121       0.354       2.230       2.056              
        48.1        0.39      0.7041      0.0198      0.0110       0.324       2.039       1.778              
        50.1        0.41      0.6861      0.0167      0.0099       0.291       1.835       1.494              
        52.2        0.43      0.6541      0.0134      0.0088       0.257       1.617       1.205              
        54.3        0.44      0.6003      0.0102      0.0075       0.220       1.386       0.911              
        56.4        0.46      0.5058      0.0068      0.0062       0.182       1.146       0.611              
        58.5        0.48      0.3337      0.0034      0.0049       0.143       0.904       0.307              
        60.6        0.49     -0.0042      0.0000      0.0036       0.106       0.669      -0.003              
                                                                                                              
                                                                                                              
                                                                                                              
