                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0843      0.0322       0.801      10.101       8.749              
         1.9        0.02      0.0554      0.0828      0.0315       0.784       9.886       8.595              
         3.8        0.04      0.1109      0.0812      0.0309       0.769       9.688       8.430              
         5.7        0.06      0.1661      0.0795      0.0303       0.754       9.500       8.254              
         7.6        0.08      0.2206      0.0777      0.0297       0.739       9.319       8.066              
         9.5        0.11      0.2739      0.0758      0.0291       0.726       9.146       7.865              
        11.4        0.13      0.3258      0.0737      0.0286       0.712       8.979       7.653              
        13.3        0.15      0.3757      0.0716      0.0281       0.699       8.817       7.428              
        15.2        0.17      0.4233      0.0693      0.0276       0.687       8.657       7.190              
        17.1        0.19      0.4684      0.0669      0.0271       0.674       8.496       6.940              
        19.0        0.21      0.5106      0.0643      0.0265       0.661       8.332       6.678              
        20.8        0.23      0.5497      0.0617      0.0260       0.647       8.161       6.402              
        22.7        0.25      0.5855      0.0589      0.0254       0.633       7.982       6.113              
        24.6        0.27      0.6177      0.0560      0.0248       0.618       7.794       5.813              
        26.5        0.29      0.6469      0.0531      0.0242       0.602       7.591       5.506              
        28.4        0.32      0.6736      0.0500      0.0235       0.584       7.364       5.191              
        30.3        0.34      0.6980      0.0469      0.0227       0.564       7.110       4.868              
        32.2        0.36      0.7200      0.0437      0.0218       0.542       6.826       4.538              
        34.1        0.38      0.7390      0.0405      0.0208       0.517       6.516       4.199              
        36.0        0.40      0.7543      0.0371      0.0197       0.490       6.182       3.852              
        37.9        0.42      0.7668      0.0337      0.0185       0.461       5.813       3.498              
        39.8        0.44      0.7763      0.0302      0.0172       0.429       5.406       3.137              
        41.7        0.46      0.7824      0.0267      0.0158       0.393       4.957       2.767              
        43.6        0.48      0.7818      0.0230      0.0143       0.355       4.481       2.391              
        45.5        0.51      0.7715      0.0193      0.0127       0.316       3.978       2.007              
        47.4        0.53      0.7486      0.0156      0.0110       0.273       3.440       1.617              
        49.3        0.55      0.7066      0.0118      0.0091       0.227       2.862       1.221              
        51.2        0.57      0.6224      0.0079      0.0072       0.180       2.263       0.819              
        53.1        0.59      0.4414      0.0040      0.0053       0.132       1.662       0.411              
        55.0        0.61     -0.0021      0.0000      0.0036       0.091       1.143      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
