                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0944      0.0352       7.005      44.147      39.184              
         3.8        0.02      0.0559      0.0935      0.0352       7.020      44.241      38.821              
         7.6        0.04      0.1105      0.0923      0.0352       7.013      44.199      38.334              
        11.4        0.06      0.1638      0.0910      0.0351       6.992      44.065      37.767              
        15.2        0.08      0.2159      0.0894      0.0349       6.950      43.801      37.103              
        19.0        0.11      0.2665      0.0875      0.0346       6.891      43.428      36.323              
        22.7        0.13      0.3149      0.0854      0.0343       6.830      43.047      35.460              
        26.5        0.15      0.3619      0.0831      0.0339       6.747      42.523      34.502              
        30.3        0.17      0.4065      0.0806      0.0334       6.657      41.955      33.456              
        34.1        0.19      0.4490      0.0778      0.0329       6.546      41.256      32.298              
        37.9        0.21      0.4902      0.0748      0.0321       6.401      40.344      31.034              
        41.7        0.23      0.5297      0.0716      0.0313       6.241      39.332      29.722              
        45.5        0.25      0.5670      0.0683      0.0305       6.069      38.248      28.360              
        49.3        0.27      0.6030      0.0649      0.0295       5.869      36.988      26.925              
        53.1        0.30      0.6381      0.0613      0.0283       5.643      35.565      25.439              
        56.9        0.32      0.6713      0.0576      0.0271       5.403      34.051      23.916              
        60.7        0.34      0.6991      0.0539      0.0260       5.175      32.616      22.365              
        64.5        0.36      0.7246      0.0502      0.0248       4.940      31.135      20.827              
        68.2        0.38      0.7479      0.0464      0.0236       4.691      29.565      19.277              
        72.0        0.40      0.7688      0.0426      0.0222       4.422      27.871      17.698              
        75.8        0.42      0.7868      0.0388      0.0208       4.135      26.063      16.090              
        79.6        0.44      0.8012      0.0348      0.0192       3.828      24.123      14.444              
        83.4        0.46      0.8111      0.0307      0.0176       3.499      22.052      12.759              
        87.2        0.48      0.8154      0.0266      0.0158       3.149      19.845      11.042              
        91.0        0.51      0.8119      0.0224      0.0139       2.776      17.498       9.290              
        94.8        0.53      0.7936      0.0181      0.0120       2.390      15.060       7.503              
        98.6        0.55      0.7523      0.0137      0.0100       1.986      12.518       5.684              
       102.4        0.57      0.6644      0.0092      0.0079       1.573       9.913       3.828              
       106.2        0.59      0.4702      0.0047      0.0058       1.163       7.329       1.931              
       109.9        0.61     -0.0045      0.0000      0.0042       0.834       5.258      -0.013              
                                                                                                              
                                                                                                              
                                                                                                              
