                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0988      0.0433      11.370      59.718      47.578              
         3.8        0.02      0.0419      0.0973      0.0431      11.325      59.480      46.835              
         7.6        0.04      0.0827      0.0956      0.0429      11.270      59.194      46.041              
        11.4        0.06      0.1225      0.0939      0.0426      11.202      58.832      45.194              
        15.2        0.07      0.1612      0.0920      0.0423      11.120      58.403      44.288              
        19.0        0.09      0.1992      0.0900      0.0419      11.006      57.807      43.323              
        22.8        0.11      0.2371      0.0877      0.0412      10.818      56.815      42.246              
        26.6        0.13      0.2742      0.0853      0.0404      10.609      55.719      41.058              
        30.4        0.15      0.3096      0.0824      0.0395      10.378      54.507      39.680              
        34.2        0.17      0.3435      0.0794      0.0386      10.139      53.249      38.239              
        38.0        0.19      0.3763      0.0763      0.0376       9.882      51.899      36.743              
        41.7        0.20      0.4077      0.0732      0.0366       9.621      50.532      35.235              
        45.5        0.22      0.4379      0.0700      0.0356       9.345      49.079      33.692              
        49.3        0.24      0.4667      0.0667      0.0345       9.053      47.548      32.118              
        53.1        0.26      0.4942      0.0634      0.0333       8.749      45.951      30.518              
        56.9        0.28      0.5203      0.0600      0.0321       8.426      44.257      28.881              
        60.7        0.30      0.5440      0.0565      0.0308       8.099      42.538      27.213              
        64.5        0.32      0.5625      0.0530      0.0297       7.810      41.017      25.533              
        68.3        0.33      0.5761      0.0495      0.0287       7.531      39.555      23.817              
        72.1        0.35      0.5855      0.0458      0.0276       7.243      38.040      22.053              
        75.9        0.37      0.5907      0.0421      0.0264       6.939      36.444      20.250              
        79.7        0.39      0.5914      0.0382      0.0252       6.608      34.705      18.389              
        83.5        0.41      0.5868      0.0342      0.0238       6.246      32.804      16.462              
        87.3        0.43      0.5757      0.0301      0.0223       5.852      30.737      14.475              
        91.1        0.45      0.5561      0.0257      0.0206       5.402      28.370      12.368              
        94.9        0.46      0.5230      0.0210      0.0186       4.885      25.658      10.099              
        98.7        0.48      0.4670      0.0160      0.0165       4.329      22.734       7.682              
       102.5        0.50      0.3745      0.0107      0.0144       3.770      19.802       5.168              
       106.3        0.52      0.2235      0.0054      0.0124       3.267      17.159       2.577              
       110.1        0.54     -0.0070     -0.0001      0.0107       2.815      14.784      -0.067              
                                                                                                              
                                                                                                              
                                                                                                              
