                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0807      0.0258       0.846       8.885       9.718              
         1.9        0.02      0.0574      0.0790      0.0255       0.836       8.783       9.508              
         3.8        0.04      0.1134      0.0771      0.0252       0.827       8.682       9.287              
         5.7        0.06      0.1677      0.0752      0.0249       0.817       8.583       9.056              
         7.6        0.07      0.2202      0.0732      0.0246       0.808       8.485       8.815              
         9.5        0.09      0.2704      0.0711      0.0243       0.799       8.389       8.562              
        11.3        0.11      0.3182      0.0689      0.0240       0.789       8.291       8.299              
        13.2        0.13      0.3635      0.0667      0.0237       0.780       8.189       8.027              
        15.1        0.15      0.4063      0.0644      0.0234       0.769       8.081       7.747              
        17.0        0.17      0.4468      0.0620      0.0231       0.758       7.961       7.460              
        18.9        0.18      0.4851      0.0595      0.0227       0.745       7.824       7.164              
        20.8        0.20      0.5213      0.0570      0.0222       0.730       7.671       6.861              
        22.7        0.22      0.5552      0.0544      0.0217       0.714       7.499       6.549              
        24.6        0.24      0.5870      0.0517      0.0212       0.696       7.309       6.229              
        26.5        0.26      0.6166      0.0490      0.0206       0.676       7.099       5.901              
        28.4        0.28      0.6439      0.0462      0.0199       0.654       6.869       5.565              
        30.3        0.30      0.6684      0.0434      0.0192       0.630       6.621       5.220              
        32.2        0.31      0.6905      0.0404      0.0184       0.604       6.349       4.868              
        34.0        0.33      0.7098      0.0374      0.0176       0.576       6.054       4.506              
        35.9        0.35      0.7264      0.0344      0.0166       0.546       5.733       4.137              
        37.8        0.37      0.7398      0.0312      0.0156       0.512       5.382       3.758              
        39.7        0.39      0.7489      0.0280      0.0145       0.477       5.005       3.369              
        41.6        0.41      0.7519      0.0247      0.0134       0.439       4.609       2.973              
        43.5        0.43      0.7472      0.0214      0.0122       0.399       4.193       2.571              
        45.4        0.44      0.7336      0.0179      0.0109       0.357       3.745       2.161              
        47.3        0.46      0.7054      0.0145      0.0095       0.311       3.270       1.742              
        49.2        0.48      0.6521      0.0109      0.0081       0.265       2.780       1.316              
        51.1        0.50      0.5548      0.0073      0.0066       0.217       2.279       0.884              
        53.0        0.52      0.3666      0.0037      0.0052       0.170       1.791       0.442              
        54.9        0.54     -0.0056      0.0000      0.0039       0.128       1.343      -0.005              
                                                                                                              
                                                                                                              
                                                                                                              
