                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0819      0.0257       1.341      12.077      13.423              
         2.2        0.02      0.0579      0.0802      0.0256       1.333      11.998      13.136              
         4.4        0.04      0.1140      0.0783      0.0254       1.323      11.912      12.834              
         6.6        0.06      0.1681      0.0764      0.0252       1.313      11.820      12.518              
         8.8        0.07      0.2201      0.0744      0.0250       1.302      11.719      12.187              
        11.0        0.09      0.2699      0.0723      0.0247       1.289      11.607      11.841              
        13.2        0.11      0.3174      0.0701      0.0245       1.275      11.482      11.480              
        15.4        0.13      0.3626      0.0678      0.0242       1.260      11.344      11.105              
        17.6        0.15      0.4054      0.0654      0.0238       1.243      11.191      10.718              
        19.8        0.17      0.4459      0.0630      0.0235       1.224      11.022      10.322              
        22.0        0.18      0.4843      0.0605      0.0231       1.203      10.833       9.916              
        24.2        0.20      0.5205      0.0580      0.0226       1.179      10.619       9.497              
        26.4        0.22      0.5546      0.0553      0.0221       1.153      10.380       9.068              
        28.6        0.24      0.5867      0.0526      0.0215       1.123      10.113       8.627              
        30.8        0.26      0.6167      0.0499      0.0209       1.090       9.816       8.172              
        33.1        0.28      0.6446      0.0470      0.0202       1.054       9.491       7.709              
        35.3        0.30      0.6698      0.0441      0.0195       1.015       9.143       7.234              
        37.5        0.31      0.6926      0.0412      0.0187       0.973       8.763       6.748              
        39.7        0.33      0.7124      0.0381      0.0178       0.928       8.356       6.251              
        41.9        0.35      0.7293      0.0350      0.0169       0.879       7.914       5.742              
        44.1        0.37      0.7428      0.0319      0.0158       0.826       7.435       5.219              
        46.3        0.39      0.7522      0.0286      0.0147       0.769       6.920       4.685              
        48.5        0.41      0.7563      0.0253      0.0136       0.707       6.369       4.138              
        50.7        0.42      0.7535      0.0218      0.0123       0.642       5.780       3.579              
        52.9        0.44      0.7423      0.0184      0.0110       0.571       5.145       3.008              
        55.1        0.46      0.7166      0.0148      0.0095       0.497       4.477       2.425              
        57.3        0.48      0.6650      0.0112      0.0081       0.421       3.794       1.834              
        59.5        0.50      0.5672      0.0075      0.0066       0.344       3.100       1.231              
        61.7        0.52      0.3765      0.0038      0.0052       0.270       2.429       0.617              
        63.9        0.54     -0.0053      0.0000      0.0038       0.201       1.806      -0.006              
                                                                                                              
                                                                                                              
                                                                                                              
