                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0783      0.0249       0.102       2.151       2.356              
         0.9        0.02      0.0569      0.0766      0.0249       0.102       2.146       2.306              
         1.9        0.04      0.1116      0.0749      0.0248       0.102       2.140       2.253              
         2.8        0.06      0.1639      0.0730      0.0247       0.101       2.132       2.198              
         3.8        0.07      0.2139      0.0711      0.0246       0.101       2.121       2.140              
         4.7        0.09      0.2614      0.0691      0.0244       0.100       2.108       2.079              
         5.7        0.11      0.3064      0.0670      0.0243       0.100       2.092       2.015              
         6.6        0.13      0.3489      0.0648      0.0241       0.099       2.074       1.950              
         7.6        0.15      0.3888      0.0625      0.0238       0.098       2.053       1.882              
         8.5        0.17      0.4263      0.0602      0.0235       0.097       2.029       1.813              
         9.5        0.19      0.4614      0.0579      0.0232       0.095       2.001       1.742              
        10.4        0.20      0.4941      0.0554      0.0228       0.094       1.969       1.669              
        11.4        0.22      0.5246      0.0529      0.0224       0.092       1.932       1.593              
        12.3        0.24      0.5528      0.0504      0.0219       0.090       1.889       1.516              
        13.2        0.26      0.5786      0.0477      0.0214       0.088       1.842       1.436              
        14.2        0.28      0.6010      0.0450      0.0208       0.085       1.791       1.354              
        15.1        0.30      0.6202      0.0422      0.0201       0.083       1.736       1.270              
        16.1        0.31      0.6367      0.0393      0.0194       0.080       1.675       1.184              
        17.0        0.33      0.6509      0.0364      0.0186       0.076       1.606       1.096              
        18.0        0.35      0.6621      0.0334      0.0177       0.073       1.529       1.005              
        18.9        0.37      0.6708      0.0303      0.0167       0.069       1.442       0.913              
        19.9        0.39      0.6751      0.0272      0.0156       0.064       1.349       0.818              
        20.8        0.41      0.6730      0.0240      0.0145       0.060       1.251       0.722              
        21.8        0.43      0.6635      0.0207      0.0133       0.055       1.146       0.624              
        22.7        0.44      0.6448      0.0174      0.0120       0.049       1.034       0.524              
        23.7        0.46      0.6122      0.0140      0.0106       0.044       0.915       0.423              
        24.6        0.48      0.5558      0.0106      0.0092       0.038       0.792       0.319              
        25.5        0.50      0.4600      0.0071      0.0077       0.032       0.667       0.214              
        26.5        0.52      0.2940      0.0036      0.0063       0.026       0.542       0.107              
        27.4        0.54     -0.0040      0.0000      0.0049       0.020       0.426      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
