                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0897      0.0292       4.444      28.011      30.010              
         3.2        0.02      0.0560      0.0878      0.0290       4.412      27.807      29.346              
         6.3        0.04      0.1102      0.0857      0.0288       4.375      27.576      28.653              
         9.5        0.06      0.1627      0.0835      0.0285       4.334      27.318      27.929              
        12.6        0.07      0.2134      0.0813      0.0282       4.287      27.021      27.172              
        15.8        0.09      0.2621      0.0789      0.0279       4.235      26.691      26.379              
        18.9        0.11      0.3089      0.0764      0.0275       4.177      26.325      25.553              
        22.1        0.13      0.3537      0.0739      0.0271       4.114      25.928      24.696              
        25.2        0.15      0.3964      0.0712      0.0266       4.046      25.501      23.819              
        28.4        0.17      0.4370      0.0685      0.0261       3.974      25.044      22.923              
        31.6        0.19      0.4756      0.0658      0.0256       3.895      24.546      22.007              
        34.7        0.20      0.5121      0.0630      0.0251       3.810      24.010      21.070              
        37.9        0.22      0.5463      0.0602      0.0245       3.720      23.445      20.121              
        41.0        0.24      0.5786      0.0572      0.0238       3.620      22.816      19.144              
        44.2        0.26      0.6091      0.0542      0.0231       3.509      22.116      18.140              
        47.3        0.28      0.6379      0.0512      0.0223       3.387      21.344      17.111              
        50.5        0.30      0.6645      0.0480      0.0214       3.254      20.507      16.055              
        53.7        0.31      0.6889      0.0448      0.0205       3.111      19.606      14.977              
        56.8        0.33      0.7106      0.0415      0.0195       2.956      18.633      13.868              
        60.0        0.35      0.7296      0.0381      0.0184       2.792      17.598      12.739              
        63.1        0.37      0.7445      0.0346      0.0172       2.619      16.506      11.583              
        66.3        0.39      0.7553      0.0311      0.0160       2.434      15.342      10.402              
        69.4        0.41      0.7607      0.0275      0.0147       2.238      14.105       9.194              
        72.6        0.43      0.7596      0.0238      0.0133       2.029      12.786       7.961              
        75.7        0.44      0.7499      0.0200      0.0119       1.806      11.380       6.703              
        78.9        0.46      0.7253      0.0162      0.0103       1.571       9.902       5.416              
        82.1        0.48      0.6744      0.0123      0.0088       1.331       8.390       4.102              
        85.2        0.50      0.5760      0.0082      0.0072       1.088       6.857       2.758              
        88.4        0.52      0.3816      0.0041      0.0056       0.855       5.387       1.384              
        91.5        0.54     -0.0090     -0.0001      0.0042       0.643       4.050      -0.024              
                                                                                                              
                                                                                                              
                                                                                                              
