                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0780      0.0259       0.031       0.991       1.044              
         0.6        0.02      0.0546      0.0764      0.0259       0.031       0.993       1.021              
         1.3        0.04      0.1066      0.0746      0.0259       0.032       0.993       0.998              
         1.9        0.06      0.1562      0.0728      0.0259       0.031       0.992       0.974              
         2.5        0.07      0.2032      0.0709      0.0258       0.031       0.990       0.948              
         3.2        0.09      0.2476      0.0689      0.0257       0.031       0.987       0.921              
         3.8        0.11      0.2894      0.0667      0.0256       0.031       0.982       0.893              
         4.4        0.13      0.3286      0.0646      0.0255       0.031       0.976       0.864              
         5.0        0.15      0.3653      0.0623      0.0253       0.031       0.968       0.834              
         5.7        0.17      0.3993      0.0600      0.0250       0.030       0.960       0.803              
         6.3        0.19      0.4309      0.0576      0.0248       0.030       0.949       0.771              
         6.9        0.20      0.4600      0.0552      0.0244       0.030       0.937       0.739              
         7.6        0.22      0.4868      0.0527      0.0241       0.029       0.922       0.705              
         8.2        0.24      0.5112      0.0501      0.0236       0.029       0.905       0.671              
         8.8        0.26      0.5334      0.0475      0.0231       0.028       0.884       0.635              
         9.5        0.28      0.5531      0.0448      0.0225       0.027       0.862       0.599              
        10.1        0.30      0.5703      0.0420      0.0218       0.027       0.836       0.562              
        10.7        0.31      0.5849      0.0392      0.0211       0.026       0.808       0.524              
        11.4        0.33      0.5974      0.0363      0.0202       0.025       0.775       0.485              
        12.0        0.35      0.6072      0.0333      0.0193       0.023       0.739       0.445              
        12.6        0.37      0.6145      0.0302      0.0182       0.022       0.698       0.404              
        13.3        0.39      0.6185      0.0271      0.0170       0.021       0.653       0.362              
        13.9        0.41      0.6171      0.0239      0.0158       0.019       0.605       0.320              
        14.5        0.43      0.6087      0.0207      0.0145       0.018       0.554       0.276              
        15.1        0.44      0.5915      0.0174      0.0131       0.016       0.500       0.232              
        15.8        0.46      0.5612      0.0140      0.0116       0.014       0.443       0.188              
        16.4        0.48      0.5086      0.0106      0.0100       0.012       0.385       0.142              
        17.0        0.50      0.4197      0.0071      0.0085       0.010       0.325       0.095              
        17.7        0.52      0.2667      0.0036      0.0069       0.008       0.266       0.048              
        18.3        0.54     -0.0052     -0.0001      0.0055       0.007       0.210      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
