                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0835      0.0260       2.023      15.937      17.873              
         2.5        0.02      0.0583      0.0817      0.0259       2.017      15.887      17.492              
         5.0        0.04      0.1145      0.0799      0.0258       2.009      15.825      17.092              
         7.6        0.06      0.1683      0.0779      0.0257       1.999      15.748      16.674              
        10.1        0.07      0.2199      0.0758      0.0255       1.986      15.644      16.232              
        12.6        0.09      0.2693      0.0737      0.0253       1.970      15.517      15.772              
        15.1        0.11      0.3165      0.0714      0.0251       1.950      15.360      15.291              
        17.7        0.13      0.3616      0.0691      0.0247       1.926      15.173      14.790              
        20.2        0.15      0.4045      0.0667      0.0244       1.899      14.961      14.275              
        22.7        0.17      0.4452      0.0642      0.0240       1.869      14.727      13.747              
        25.2        0.18      0.4836      0.0617      0.0236       1.837      14.470      13.204              
        27.7        0.20      0.5198      0.0591      0.0231       1.800      14.179      12.645              
        30.3        0.22      0.5541      0.0564      0.0226       1.759      13.855      12.072              
        32.8        0.24      0.5864      0.0537      0.0220       1.712      13.491      11.484              
        35.3        0.26      0.6168      0.0508      0.0213       1.661      13.086      10.879              
        37.8        0.28      0.6448      0.0479      0.0206       1.605      12.646      10.259              
        40.4        0.30      0.6706      0.0450      0.0198       1.544      12.167       9.624              
        42.9        0.31      0.6941      0.0419      0.0190       1.479      11.648       8.975              
        45.4        0.33      0.7145      0.0388      0.0181       1.408      11.090       8.307              
        47.9        0.35      0.7320      0.0356      0.0171       1.332      10.491       7.628              
        50.4        0.37      0.7458      0.0324      0.0161       1.250       9.851       6.932              
        53.0        0.39      0.7553      0.0291      0.0150       1.164       9.173       6.226              
        55.5        0.41      0.7600      0.0257      0.0138       1.070       8.432       5.497              
        58.0        0.43      0.7584      0.0222      0.0125       0.969       7.636       4.752              
        60.5        0.44      0.7492      0.0187      0.0111       0.862       6.791       4.000              
        63.1        0.46      0.7247      0.0150      0.0096       0.746       5.878       3.215              
        65.6        0.48      0.6774      0.0114      0.0081       0.630       4.967       2.442              
        68.1        0.50      0.5748      0.0076      0.0066       0.511       4.029       1.619              
        70.6        0.52      0.3770      0.0037      0.0051       0.398       3.135       0.797              
        73.1        0.54     -0.0279     -0.0002      0.0038       0.292       2.299      -0.042              
                                                                                                              
                                                                                                              
                                                                                                              
