                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0969      0.0474      15.839      76.790      54.768              
         4.0        0.02      0.0363      0.0955      0.0473      15.782      76.515      53.964              
         8.0        0.04      0.0717      0.0940      0.0470      15.712      76.174      53.107              
        11.9        0.05      0.1062      0.0924      0.0468      15.634      75.795      52.202              
        15.9        0.07      0.1399      0.0907      0.0465      15.541      75.346      51.231              
        19.9        0.09      0.1725      0.0888      0.0462      15.432      74.818      50.202              
        23.9        0.11      0.2041      0.0868      0.0458      15.302      74.184      49.082              
        27.8        0.13      0.2358      0.0847      0.0451      15.069      73.058      47.863              
        31.8        0.14      0.2671      0.0822      0.0442      14.768      71.595      46.479              
        35.8        0.16      0.2970      0.0795      0.0432      14.434      69.976      44.910              
        39.8        0.18      0.3250      0.0763      0.0422      14.078      68.253      43.137              
        43.8        0.20      0.3517      0.0731      0.0410      13.704      66.438      41.305              
        47.7        0.22      0.3771      0.0698      0.0399      13.308      64.519      39.424              
        51.7        0.23      0.4011      0.0665      0.0387      12.920      62.636      37.578              
        55.7        0.25      0.4234      0.0631      0.0375      12.511      60.656      35.676              
        59.7        0.27      0.4441      0.0598      0.0363      12.117      58.742      33.822              
        63.6        0.29      0.4625      0.0564      0.0350      11.705      56.745      31.896              
        67.6        0.31      0.4756      0.0531      0.0340      11.369      55.120      29.988              
        71.6        0.32      0.4837      0.0496      0.0331      11.060      53.620      28.022              
        75.6        0.34      0.4880      0.0460      0.0322      10.737      52.055      26.001              
        79.5        0.36      0.4881      0.0423      0.0311      10.390      50.371      23.906              
        83.5        0.38      0.4842      0.0383      0.0298       9.948      48.229      21.628              
        87.5        0.39      0.4764      0.0340      0.0282       9.417      45.655      19.227              
        91.5        0.41      0.4621      0.0296      0.0265       8.845      42.884      16.756              
        95.5        0.43      0.4400      0.0251      0.0246       8.221      39.859      14.210              
        99.4        0.45      0.4075      0.0204      0.0225       7.519      36.453      11.556              
       103.4        0.47      0.3582      0.0156      0.0204       6.799      32.963       8.831              
       107.4        0.48      0.2792      0.0105      0.0183       6.097      29.558       5.945              
       111.4        0.50      0.1604      0.0053      0.0166       5.552      26.918       2.999              
       115.3        0.52      0.0046      0.0001      0.0145       4.858      23.552       0.073              
                                                                                                              
                                                                                                              
                                                                                                              
