                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0630      0.0174       0.365       3.284       4.981              
         1.5        0.02      0.0550      0.0617      0.0173       0.363       3.266       4.872              
         3.1        0.03      0.1081      0.0602      0.0172       0.361       3.247       4.759              
         4.6        0.05      0.1591      0.0587      0.0171       0.358       3.227       4.642              
         6.1        0.06      0.2080      0.0572      0.0170       0.356       3.205       4.520              
         7.7        0.08      0.2548      0.0556      0.0169       0.353       3.179       4.393              
         9.2        0.09      0.2992      0.0539      0.0167       0.350       3.151       4.260              
        10.8        0.11      0.3413      0.0522      0.0165       0.346       3.119       4.124              
        12.3        0.12      0.3811      0.0504      0.0163       0.342       3.082       3.982              
        13.8        0.14      0.4185      0.0485      0.0161       0.338       3.041       3.835              
        15.4        0.15      0.4536      0.0466      0.0159       0.333       2.995       3.683              
        16.9        0.17      0.4863      0.0446      0.0156       0.327       2.943       3.528              
        18.4        0.19      0.5166      0.0426      0.0153       0.320       2.885       3.368              
        20.0        0.20      0.5439      0.0405      0.0150       0.314       2.824       3.204              
        21.5        0.22      0.5684      0.0384      0.0146       0.306       2.757       3.035              
        23.0        0.23      0.5903      0.0362      0.0142       0.298       2.682       2.862              
        24.6        0.25      0.6099      0.0340      0.0138       0.289       2.598       2.685              
        26.1        0.26      0.6269      0.0317      0.0133       0.278       2.504       2.504              
        27.6        0.28      0.6413      0.0293      0.0127       0.267       2.400       2.318              
        29.2        0.29      0.6528      0.0269      0.0121       0.254       2.285       2.129              
        30.7        0.31      0.6603      0.0245      0.0115       0.240       2.161       1.934              
        32.3        0.32      0.6623      0.0220      0.0108       0.225       2.029       1.735              
        33.8        0.34      0.6576      0.0194      0.0100       0.210       1.891       1.532              
        35.3        0.36      0.6451      0.0168      0.0092       0.193       1.742       1.325              
        36.9        0.37      0.6229      0.0141      0.0084       0.176       1.584       1.114              
        38.4        0.39      0.5857      0.0114      0.0075       0.157       1.413       0.897              
        39.9        0.40      0.5262      0.0086      0.0065       0.137       1.234       0.677              
        41.5        0.42      0.4316      0.0058      0.0056       0.117       1.052       0.456              
        43.0        0.43      0.2737      0.0029      0.0046       0.096       0.867       0.230              
        44.5        0.45     -0.0010      0.0000      0.0036       0.076       0.686      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
