                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0618      0.0171       0.131       1.650       2.494              
         1.1        0.02      0.0545      0.0605      0.0171       0.131       1.651       2.440              
         2.2        0.03      0.1066      0.0591      0.0171       0.131       1.650       2.384              
         3.3        0.05      0.1562      0.0577      0.0171       0.131       1.648       2.326              
         4.4        0.06      0.2033      0.0562      0.0171       0.130       1.644       2.265              
         5.5        0.08      0.2480      0.0546      0.0170       0.130       1.638       2.202              
         6.6        0.09      0.2903      0.0530      0.0169       0.129       1.630       2.136              
         7.7        0.11      0.3302      0.0513      0.0168       0.128       1.618       2.068              
         8.8        0.12      0.3677      0.0495      0.0167       0.127       1.604       1.998              
         9.9        0.14      0.4030      0.0477      0.0165       0.126       1.586       1.924              
        11.0        0.15      0.4361      0.0458      0.0163       0.124       1.565       1.849              
        12.1        0.17      0.4668      0.0439      0.0160       0.122       1.540       1.770              
        13.2        0.19      0.4946      0.0419      0.0157       0.120       1.513       1.690              
        14.3        0.20      0.5191      0.0399      0.0154       0.118       1.486       1.608              
        15.4        0.22      0.5409      0.0378      0.0151       0.115       1.455       1.523              
        16.5        0.23      0.5603      0.0356      0.0147       0.113       1.419       1.437              
        17.6        0.25      0.5774      0.0334      0.0143       0.109       1.378       1.348              
        18.7        0.26      0.5916      0.0312      0.0138       0.106       1.332       1.256              
        19.8        0.28      0.6034      0.0289      0.0133       0.102       1.281       1.163              
        20.9        0.29      0.6124      0.0265      0.0127       0.097       1.223       1.068              
        22.0        0.31      0.6173      0.0241      0.0121       0.092       1.160       0.970              
        23.1        0.32      0.6171      0.0216      0.0114       0.087       1.093       0.871              
        24.2        0.34      0.6107      0.0191      0.0106       0.081       1.022       0.769              
        25.3        0.36      0.5971      0.0165      0.0098       0.075       0.945       0.665              
        26.4        0.37      0.5736      0.0139      0.0090       0.068       0.863       0.559              
        27.4        0.39      0.5360      0.0112      0.0081       0.062       0.776       0.451              
        28.5        0.40      0.4771      0.0084      0.0071       0.054       0.685       0.341              
        29.6        0.42      0.3855      0.0057      0.0061       0.047       0.591       0.229              
        30.7        0.43      0.2401      0.0029      0.0052       0.039       0.496       0.115              
        31.8        0.45     -0.0018      0.0000      0.0042       0.032       0.402      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
