                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0660      0.0183       1.120       7.059      10.640              
         2.2        0.02      0.0550      0.0645      0.0181       1.107       6.979      10.403              
         4.4        0.03      0.1087      0.0630      0.0179       1.095       6.900      10.156              
         6.6        0.05      0.1608      0.0614      0.0177       1.082       6.819       9.900              
         8.8        0.06      0.2111      0.0597      0.0175       1.069       6.736       9.634              
        11.0        0.08      0.2597      0.0580      0.0173       1.055       6.650       9.359              
        13.2        0.09      0.3062      0.0563      0.0170       1.041       6.561       9.073              
        15.4        0.11      0.3507      0.0544      0.0168       1.026       6.467       8.778              
        17.6        0.12      0.3929      0.0525      0.0165       1.010       6.367       8.472              
        19.8        0.14      0.4327      0.0506      0.0163       0.993       6.262       8.157              
        22.0        0.15      0.4701      0.0486      0.0160       0.976       6.149       7.832              
        24.2        0.17      0.5052      0.0465      0.0157       0.956       6.027       7.500              
        26.4        0.19      0.5380      0.0444      0.0153       0.935       5.893       7.158              
        28.5        0.20      0.5684      0.0422      0.0149       0.912       5.746       6.808              
        30.7        0.22      0.5964      0.0400      0.0145       0.887       5.588       6.450              
        32.9        0.23      0.6219      0.0377      0.0141       0.859       5.415       6.083              
        35.1        0.25      0.6449      0.0354      0.0136       0.829       5.226       5.708              
        37.3        0.26      0.6654      0.0330      0.0130       0.796       5.020       5.324              
        39.5        0.28      0.6833      0.0306      0.0124       0.760       4.793       4.930              
        41.7        0.29      0.6983      0.0281      0.0118       0.721       4.545       4.526              
        43.9        0.31      0.7093      0.0255      0.0111       0.679       4.278       4.111              
        46.1        0.32      0.7150      0.0229      0.0104       0.635       3.999       3.689              
        48.3        0.34      0.7139      0.0202      0.0096       0.588       3.706       3.258              
        50.5        0.36      0.7040      0.0175      0.0088       0.539       3.398       2.818              
        52.7        0.37      0.6844      0.0147      0.0080       0.486       3.066       2.369              
        54.9        0.39      0.6503      0.0119      0.0070       0.430       2.713       1.912              
        57.1        0.40      0.5920      0.0090      0.0061       0.372       2.343       1.446              
        59.3        0.42      0.4939      0.0060      0.0051       0.311       1.962       0.973              
        61.5        0.43      0.3208      0.0030      0.0041       0.250       1.576       0.489              
        63.7        0.45     -0.0014      0.0000      0.0031       0.192       1.212      -0.002              
                                                                                                              
                                                                                                              
                                                                                                              
