                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0839      0.0278       0.034       1.064       1.122              
         0.6        0.02      0.0551      0.0822      0.0278       0.034       1.066       1.099              
         1.3        0.04      0.1076      0.0804      0.0278       0.034       1.067       1.075              
         1.9        0.06      0.1576      0.0785      0.0278       0.034       1.067       1.049              
         2.5        0.07      0.2050      0.0765      0.0278       0.034       1.066       1.023              
         3.2        0.09      0.2498      0.0744      0.0278       0.034       1.064       0.995              
         3.8        0.11      0.2920      0.0722      0.0277       0.034       1.060       0.966              
         4.4        0.13      0.3316      0.0699      0.0275       0.033       1.055       0.936              
         5.1        0.15      0.3685      0.0676      0.0273       0.033       1.048       0.904              
         5.7        0.17      0.4029      0.0651      0.0271       0.033       1.039       0.871              
         6.4        0.19      0.4347      0.0626      0.0268       0.033       1.028       0.837              
         7.0        0.21      0.4641      0.0600      0.0265       0.032       1.015       0.802              
         7.6        0.22      0.4909      0.0573      0.0261       0.032       1.001       0.766              
         8.3        0.24      0.5153      0.0545      0.0256       0.031       0.983       0.729              
         8.9        0.26      0.5372      0.0516      0.0251       0.031       0.962       0.691              
         9.5        0.28      0.5568      0.0487      0.0245       0.030       0.938       0.652              
        10.2        0.30      0.5741      0.0457      0.0238       0.029       0.910       0.611              
        10.8        0.32      0.5890      0.0426      0.0229       0.028       0.878       0.570              
        11.4        0.34      0.6013      0.0394      0.0220       0.027       0.844       0.528              
        12.1        0.35      0.6108      0.0362      0.0210       0.026       0.804       0.484              
        12.7        0.37      0.6171      0.0328      0.0198       0.024       0.760       0.439              
        13.3        0.39      0.6195      0.0294      0.0186       0.023       0.712       0.393              
        14.0        0.41      0.6170      0.0259      0.0172       0.021       0.661       0.347              
        14.6        0.43      0.6076      0.0224      0.0158       0.019       0.605       0.299              
        15.3        0.45      0.5881      0.0188      0.0143       0.017       0.547       0.251              
        15.9        0.47      0.5536      0.0151      0.0127       0.015       0.488       0.202              
        16.5        0.48      0.4973      0.0114      0.0111       0.014       0.426       0.153              
        17.2        0.50      0.4058      0.0076      0.0095       0.012       0.363       0.102              
        17.8        0.52      0.2553      0.0038      0.0078       0.010       0.300       0.051              
        18.4        0.54     -0.0049     -0.0001      0.0062       0.007       0.236      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
