                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0841      0.0265       0.109       2.289       2.531              
         1.0        0.02      0.0578      0.0824      0.0266       0.109       2.289       2.479              
         1.9        0.04      0.1130      0.0805      0.0265       0.109       2.288       2.424              
         2.9        0.06      0.1658      0.0786      0.0265       0.109       2.284       2.366              
         3.8        0.07      0.2162      0.0766      0.0264       0.108       2.276       2.305              
         4.8        0.09      0.2640      0.0745      0.0263       0.108       2.266       2.242              
         5.7        0.11      0.3092      0.0723      0.0261       0.107       2.253       2.176              
         6.7        0.13      0.3520      0.0700      0.0259       0.106       2.236       2.107              
         7.6        0.15      0.3922      0.0676      0.0257       0.105       2.215       2.035              
         8.6        0.17      0.4299      0.0651      0.0254       0.104       2.189       1.960              
         9.5        0.19      0.4652      0.0625      0.0250       0.103       2.159       1.883              
        10.5        0.20      0.4981      0.0599      0.0246       0.101       2.125       1.803              
        11.4        0.22      0.5282      0.0572      0.0242       0.099       2.086       1.721              
        12.4        0.24      0.5557      0.0544      0.0237       0.097       2.044       1.637              
        13.3        0.26      0.5808      0.0515      0.0231       0.095       1.995       1.551              
        14.3        0.28      0.6033      0.0486      0.0225       0.092       1.940       1.463              
        15.2        0.30      0.6235      0.0456      0.0218       0.089       1.878       1.372              
        16.2        0.32      0.6406      0.0425      0.0210       0.086       1.811       1.279              
        17.1        0.34      0.6541      0.0393      0.0202       0.083       1.738       1.184              
        18.1        0.35      0.6645      0.0361      0.0192       0.079       1.657       1.086              
        19.0        0.37      0.6714      0.0328      0.0182       0.075       1.567       0.986              
        20.0        0.39      0.6738      0.0294      0.0170       0.070       1.470       0.884              
        21.0        0.41      0.6708      0.0259      0.0158       0.065       1.364       0.779              
        21.9        0.43      0.6602      0.0224      0.0145       0.060       1.251       0.673              
        22.9        0.45      0.6386      0.0188      0.0131       0.054       1.134       0.565              
        23.8        0.47      0.6012      0.0151      0.0117       0.048       1.011       0.455              
        24.8        0.48      0.5401      0.0114      0.0102       0.042       0.883       0.344              
        25.7        0.50      0.4413      0.0077      0.0087       0.036       0.752       0.230              
        26.7        0.52      0.2779      0.0038      0.0072       0.029       0.619       0.115              
        27.6        0.54     -0.0052     -0.0001      0.0056       0.023       0.486      -0.002              
                                                                                                              
                                                                                                              
                                                                                                              
