                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0870      0.0347       0.659       8.305       7.273              
         1.9        0.02      0.0555      0.0856      0.0340       0.646       8.142       7.157              
         3.8        0.04      0.1111      0.0841      0.0334       0.634       7.992       7.031              
         5.6        0.07      0.1663      0.0825      0.0328       0.623       7.852       6.896              
         7.5        0.09      0.2207      0.0807      0.0322       0.613       7.723       6.750              
         9.4        0.11      0.2740      0.0789      0.0317       0.603       7.596       6.594              
        11.3        0.13      0.3259      0.0769      0.0312       0.593       7.470       6.427              
        13.1        0.15      0.3760      0.0747      0.0307       0.583       7.344       6.249              
        15.0        0.18      0.4240      0.0725      0.0301       0.573       7.218       6.059              
        16.9        0.20      0.4694      0.0701      0.0296       0.563       7.091       5.858              
        18.8        0.22      0.5120      0.0675      0.0291       0.552       6.960       5.645              
        20.7        0.24      0.5517      0.0648      0.0285       0.541       6.823       5.421              
        22.5        0.26      0.5883      0.0620      0.0279       0.530       6.675       5.184              
        24.4        0.29      0.6214      0.0590      0.0272       0.517       6.517       4.935              
        26.3        0.31      0.6509      0.0559      0.0265       0.504       6.347       4.675              
        28.2        0.33      0.6773      0.0527      0.0257       0.489       6.163       4.408              
        30.0        0.35      0.7013      0.0495      0.0249       0.472       5.956       4.135              
        31.9        0.37      0.7229      0.0461      0.0239       0.454       5.723       3.855              
        33.8        0.40      0.7421      0.0427      0.0228       0.433       5.463       3.568              
        35.7        0.42      0.7572      0.0392      0.0217       0.411       5.187       3.274              
        37.6        0.44      0.7692      0.0356      0.0204       0.387       4.883       2.975              
        39.4        0.46      0.7783      0.0319      0.0190       0.361       4.546       2.669              
        41.3        0.48      0.7840      0.0282      0.0174       0.331       4.175       2.357              
        43.2        0.51      0.7846      0.0244      0.0158       0.299       3.773       2.039              
        45.1        0.53      0.7758      0.0205      0.0140       0.266       3.347       1.714              
        47.0        0.55      0.7544      0.0165      0.0121       0.229       2.892       1.382              
        48.8        0.57      0.7150      0.0125      0.0100       0.190       2.396       1.044              
        50.7        0.59      0.6378      0.0084      0.0078       0.148       1.870       0.700              
        52.6        0.62      0.4653      0.0042      0.0056       0.106       1.332       0.351              
        54.5        0.64     -0.0063      0.0000      0.0036       0.068       0.860      -0.003              
                                                                                                              
                                                                                                              
                                                                                                              
