                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0847      0.0284       0.117       2.451       2.551              
         1.1        0.02      0.0641      0.0834      0.0287       0.118       2.473       2.511              
         2.3        0.04      0.1251      0.0820      0.0289       0.119       2.492       2.468              
         3.4        0.07      0.1830      0.0805      0.0291       0.119       2.508       2.422              
         4.5        0.09      0.2379      0.0788      0.0292       0.120       2.520       2.373              
         5.6        0.11      0.2897      0.0771      0.0293       0.120       2.529       2.319              
         6.8        0.13      0.3385      0.0752      0.0294       0.121       2.533       2.263              
         7.9        0.15      0.3843      0.0732      0.0294       0.121       2.533       2.202              
         9.0        0.18      0.4272      0.0710      0.0293       0.120       2.528       2.137              
        10.1        0.20      0.4671      0.0687      0.0292       0.120       2.517       2.068              
        11.3        0.22      0.5041      0.0663      0.0290       0.119       2.499       1.995              
        12.4        0.24      0.5384      0.0637      0.0287       0.118       2.474       1.917              
        13.5        0.26      0.5700      0.0610      0.0283       0.116       2.440       1.835              
        14.7        0.29      0.5985      0.0581      0.0278       0.114       2.398       1.748              
        15.8        0.31      0.6241      0.0550      0.0272       0.112       2.347       1.656              
        16.9        0.33      0.6470      0.0519      0.0265       0.109       2.288       1.562              
        18.0        0.35      0.6675      0.0487      0.0257       0.106       2.220       1.466              
        19.2        0.37      0.6854      0.0454      0.0248       0.102       2.142       1.367              
        20.3        0.40      0.7007      0.0421      0.0238       0.098       2.054       1.266              
        21.4        0.42      0.7121      0.0386      0.0227       0.093       1.959       1.162              
        22.5        0.44      0.7202      0.0351      0.0215       0.088       1.852       1.056              
        23.7        0.46      0.7260      0.0315      0.0201       0.082       1.731       0.947              
        24.8        0.49      0.7281      0.0278      0.0185       0.076       1.596       0.836              
        25.9        0.51      0.7254      0.0240      0.0168       0.069       1.448       0.723              
        27.1        0.53      0.7144      0.0202      0.0150       0.061       1.289       0.608              
        28.2        0.55      0.6909      0.0163      0.0130       0.053       1.119       0.490              
        29.3        0.57      0.6483      0.0123      0.0109       0.045       0.936       0.370              
        30.4        0.60      0.5689      0.0082      0.0086       0.035       0.743       0.248              
        31.6        0.62      0.4034      0.0041      0.0063       0.026       0.546       0.124              
        32.7        0.64     -0.0055      0.0000      0.0042       0.017       0.364      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
