                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0856      0.0305       0.297       4.679       4.581              
         1.5        0.02      0.0610      0.0843      0.0304       0.296       4.665       4.509              
         3.0        0.04      0.1203      0.0828      0.0303       0.295       4.651       4.431              
         4.5        0.07      0.1776      0.0813      0.0302       0.294       4.637       4.347              
         6.0        0.09      0.2328      0.0796      0.0301       0.293       4.620       4.258              
         7.5        0.11      0.2857      0.0778      0.0300       0.292       4.598       4.161              
         9.0        0.13      0.3362      0.0758      0.0298       0.290       4.572       4.058              
        10.5        0.15      0.3842      0.0738      0.0296       0.288       4.541       3.947              
        12.0        0.18      0.4296      0.0716      0.0294       0.286       4.503       3.830              
        13.5        0.20      0.4722      0.0692      0.0291       0.283       4.459       3.705              
        15.0        0.22      0.5120      0.0668      0.0287       0.280       4.406       3.573              
        16.5        0.24      0.5491      0.0642      0.0283       0.276       4.342       3.433              
        18.0        0.26      0.5833      0.0614      0.0278       0.271       4.266       3.284              
        19.5        0.29      0.6143      0.0585      0.0273       0.265       4.179       3.127              
        21.0        0.31      0.6422      0.0554      0.0266       0.259       4.079       2.963              
        22.5        0.33      0.6673      0.0522      0.0259       0.252       3.966       2.794              
        24.0        0.35      0.6899      0.0490      0.0250       0.244       3.839       2.622              
        25.5        0.37      0.7104      0.0457      0.0241       0.234       3.694       2.444              
        27.1        0.40      0.7280      0.0423      0.0230       0.224       3.533       2.263              
        28.6        0.42      0.7409      0.0388      0.0219       0.213       3.363       2.077              
        30.1        0.44      0.7509      0.0353      0.0207       0.201       3.173       1.887              
        31.6        0.46      0.7579      0.0316      0.0193       0.188       2.962       1.693              
        33.1        0.48      0.7616      0.0279      0.0178       0.173       2.727       1.495              
        34.6        0.51      0.7600      0.0242      0.0161       0.157       2.471       1.293              
        36.1        0.53      0.7493      0.0203      0.0143       0.140       2.199       1.087              
        37.6        0.55      0.7263      0.0164      0.0124       0.121       1.906       0.877              
        39.1        0.57      0.6844      0.0124      0.0104       0.101       1.588       0.662              
        40.6        0.60      0.6048      0.0083      0.0082       0.079       1.251       0.444              
        42.1        0.62      0.4336      0.0042      0.0059       0.058       0.907       0.222              
        43.6        0.64     -0.0061      0.0000      0.0039       0.038       0.596      -0.002              
                                                                                                              
                                                                                                              
                                                                                                              
