                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0951      0.0431       0.310       4.889       4.000              
         2.1        0.03      0.0691      0.0950      0.0439       0.316       4.986       3.999              
         4.1        0.06      0.1353      0.0950      0.0448       0.323       5.090       3.997              
         6.2        0.10      0.1986      0.0950      0.0458       0.330       5.199       3.995              
         8.2        0.13      0.2589      0.0949      0.0468       0.337       5.313       3.991              
        10.3        0.16      0.3162      0.0947      0.0478       0.345       5.429       3.985              
        12.3        0.19      0.3707      0.0945      0.0488       0.352       5.542       3.974              
        14.4        0.22      0.4224      0.0940      0.0497       0.358       5.646       3.954              
        16.4        0.26      0.4714      0.0932      0.0505       0.364       5.732       3.920              
        18.5        0.29      0.5176      0.0919      0.0510       0.367       5.790       3.866              
        20.5        0.32      0.5609      0.0900      0.0512       0.369       5.816       3.787              
        22.6        0.35      0.6008      0.0876      0.0512       0.369       5.813       3.686              
        24.6        0.38      0.6371      0.0848      0.0510       0.367       5.790       3.569              
        26.7        0.42      0.6703      0.0817      0.0506       0.364       5.741       3.436              
        28.7        0.45      0.7008      0.0782      0.0499       0.359       5.659       3.288              
        30.8        0.48      0.7284      0.0743      0.0488       0.352       5.543       3.125              
        32.8        0.51      0.7531      0.0700      0.0475       0.342       5.390       2.945              
        34.9        0.54      0.7751      0.0652      0.0457       0.329       5.186       2.745              
        36.9        0.57      0.7942      0.0604      0.0437       0.315       4.958       2.539              
        39.0        0.61      0.8102      0.0554      0.0415       0.299       4.706       2.329              
        41.0        0.64      0.8239      0.0503      0.0390       0.281       4.423       2.115              
        43.1        0.67      0.8356      0.0451      0.0362       0.261       4.106       1.896              
        45.1        0.70      0.8422      0.0398      0.0332       0.239       3.765       1.673              
        47.2        0.73      0.8452      0.0344      0.0299       0.215       3.389       1.446              
        49.2        0.77      0.8446      0.0289      0.0262       0.189       2.973       1.215              
        51.3        0.80      0.8366      0.0233      0.0222       0.160       2.521       0.979              
        53.3        0.83      0.8138      0.0176      0.0179       0.129       2.037       0.740              
        55.4        0.86      0.7629      0.0118      0.0133       0.096       1.513       0.496              
        57.4        0.89      0.6314      0.0059      0.0084       0.060       0.952       0.249              
        59.5        0.93     -0.0047      0.0000      0.0037       0.026       0.417      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
