                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1029      0.1261       4.868      43.826      13.262              
         3.6        0.03      0.0271      0.1029      0.1211       4.676      42.101      13.260              
         7.2        0.06      0.0566      0.1028      0.1160       4.476      40.303      13.247              
        10.8        0.10      0.0888      0.1027      0.1106       4.271      38.453      13.227              
        14.3        0.13      0.1243      0.1024      0.1051       4.058      36.536      13.195              
        17.9        0.16      0.1636      0.1021      0.0995       3.840      34.575      13.149              
        21.5        0.19      0.2077      0.1016      0.0936       3.614      32.543      13.089              
        25.1        0.22      0.2572      0.1010      0.0877       3.384      30.469      13.008              
        28.7        0.26      0.3133      0.1001      0.0815       3.147      28.334      12.895              
        32.3        0.29      0.3762      0.0987      0.0753       2.909      26.187      12.721              
        35.8        0.32      0.4450      0.0965      0.0692       2.672      24.053      12.440              
        39.4        0.35      0.5161      0.0935      0.0636       2.455      22.101      12.050              
        43.0        0.38      0.5794      0.0900      0.0595       2.296      20.672      11.599              
        46.6        0.41      0.6330      0.0862      0.0565       2.180      19.631      11.109              
        50.2        0.45      0.6804      0.0821      0.0539       2.080      18.723      10.575              
        53.8        0.48      0.7219      0.0776      0.0514       1.986      17.881      10.001              
        57.3        0.51      0.7570      0.0728      0.0491       1.896      17.071       9.386              
        60.9        0.54      0.7851      0.0677      0.0468       1.805      16.256       8.725              
        64.5        0.57      0.8070      0.0626      0.0446       1.720      15.489       8.070              
        68.1        0.61      0.8264      0.0575      0.0421       1.627      14.649       7.404              
        71.7        0.64      0.8437      0.0522      0.0395       1.523      13.715       6.724              
        75.3        0.67      0.8588      0.0468      0.0365       1.409      12.685       6.029              
        78.8        0.70      0.8711      0.0413      0.0333       1.284      11.560       5.319              
        82.4        0.73      0.8798      0.0357      0.0298       1.148      10.341       4.597              
        86.0        0.77      0.8851      0.0300      0.0259       1.001       9.009       3.861              
        89.6        0.80      0.8838      0.0241      0.0218       0.841       7.573       3.112              
        93.2        0.83      0.8676      0.0182      0.0174       0.673       6.060       2.350              
        96.8        0.86      0.8275      0.0122      0.0127       0.492       4.428       1.577              
       100.3        0.89      0.7152      0.0062      0.0077       0.297       2.671       0.793              
       103.9        0.93     -0.0006      0.0000      0.0031       0.120       1.080       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
