                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0790      0.0255       0.177       3.723       3.623              
         1.2        0.02      0.0617      0.0775      0.0256       0.178       3.731       3.557              
         2.3        0.04      0.1207      0.0760      0.0256       0.178       3.736       3.487              
         3.5        0.06      0.1772      0.0744      0.0256       0.178       3.738       3.413              
         4.6        0.08      0.2310      0.0727      0.0256       0.178       3.735       3.335              
         5.8        0.10      0.2821      0.0709      0.0255       0.177       3.729       3.252              
         6.9        0.12      0.3305      0.0690      0.0255       0.177       3.717       3.165              
         8.1        0.14      0.3761      0.0670      0.0253       0.176       3.700       3.073              
         9.2        0.16      0.4191      0.0649      0.0252       0.175       3.675       2.977              
        10.4        0.18      0.4595      0.0627      0.0249       0.173       3.642       2.874              
        11.5        0.20      0.4971      0.0603      0.0246       0.171       3.599       2.766              
        12.7        0.22      0.5318      0.0578      0.0243       0.169       3.548       2.652              
        13.9        0.24      0.5635      0.0552      0.0239       0.166       3.489       2.532              
        15.0        0.26      0.5925      0.0525      0.0234       0.163       3.419       2.409              
        16.2        0.28      0.6191      0.0498      0.0229       0.159       3.339       2.282              
        17.3        0.30      0.6432      0.0469      0.0222       0.155       3.247       2.153              
        18.5        0.33      0.6652      0.0440      0.0215       0.150       3.143       2.020              
        19.6        0.35      0.6838      0.0411      0.0207       0.144       3.029       1.883              
        20.8        0.37      0.6980      0.0380      0.0199       0.138       2.909       1.744              
        21.9        0.39      0.7094      0.0349      0.0190       0.132       2.773       1.600              
        23.1        0.41      0.7181      0.0317      0.0179       0.125       2.620       1.454              
        24.2        0.43      0.7237      0.0284      0.0168       0.117       2.450       1.305              
        25.4        0.45      0.7252      0.0251      0.0155       0.108       2.260       1.152              
        26.6        0.47      0.7199      0.0217      0.0141       0.098       2.059       0.996              
        27.7        0.49      0.7051      0.0183      0.0126       0.088       1.844       0.838              
        28.9        0.51      0.6781      0.0147      0.0110       0.077       1.612       0.676              
        30.0        0.53      0.6311      0.0111      0.0093       0.065       1.361       0.511              
        31.2        0.55      0.5452      0.0075      0.0075       0.052       1.099       0.343              
        32.3        0.57      0.3765      0.0038      0.0057       0.040       0.831       0.173              
        33.5        0.59     -0.0002      0.0000      0.0041       0.029       0.600       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
