                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0787      0.0260       0.053       1.685       1.605              
         0.8        0.02      0.0602      0.0773      0.0261       0.054       1.693       1.576              
         1.5        0.04      0.1176      0.0758      0.0262       0.054       1.699       1.545              
         2.3        0.06      0.1722      0.0742      0.0263       0.054       1.705       1.512              
         3.1        0.08      0.2238      0.0725      0.0263       0.054       1.709       1.477              
         3.9        0.10      0.2726      0.0707      0.0264       0.054       1.710       1.441              
         4.6        0.12      0.3184      0.0688      0.0264       0.054       1.710       1.402              
         5.4        0.14      0.3612      0.0668      0.0263       0.054       1.708       1.362              
         6.2        0.16      0.4012      0.0647      0.0262       0.054       1.702       1.319              
         6.9        0.18      0.4383      0.0625      0.0261       0.054       1.692       1.274              
         7.7        0.20      0.4725      0.0601      0.0259       0.053       1.678       1.226              
         8.5        0.22      0.5038      0.0576      0.0256       0.053       1.660       1.175              
         9.2        0.24      0.5321      0.0550      0.0252       0.052       1.637       1.122              
        10.0        0.26      0.5576      0.0523      0.0248       0.051       1.610       1.067              
        10.8        0.28      0.5804      0.0496      0.0243       0.050       1.578       1.011              
        11.6        0.30      0.6006      0.0468      0.0237       0.049       1.541       0.954              
        12.3        0.33      0.6187      0.0439      0.0231       0.047       1.497       0.894              
        13.1        0.35      0.6341      0.0409      0.0223       0.046       1.447       0.834              
        13.9        0.37      0.6468      0.0379      0.0214       0.044       1.391       0.772              
        14.6        0.39      0.6566      0.0348      0.0204       0.042       1.327       0.709              
        15.4        0.41      0.6640      0.0316      0.0193       0.040       1.255       0.644              
        16.2        0.43      0.6684      0.0283      0.0181       0.037       1.174       0.577              
        16.9        0.45      0.6696      0.0250      0.0167       0.034       1.083       0.510              
        17.7        0.47      0.6650      0.0216      0.0152       0.031       0.986       0.440              
        18.5        0.49      0.6516      0.0182      0.0136       0.028       0.882       0.370              
        19.3        0.51      0.6263      0.0147      0.0119       0.024       0.772       0.299              
        20.0        0.53      0.5814      0.0111      0.0100       0.021       0.652       0.225              
        20.8        0.55      0.5004      0.0074      0.0081       0.017       0.528       0.151              
        21.6        0.57      0.3412      0.0037      0.0062       0.013       0.403       0.076              
        22.3        0.59     -0.0021      0.0000      0.0045       0.009       0.293       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
