                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0801      0.0264       2.162      15.141      17.060              
         2.7        0.02      0.0568      0.0785      0.0260       2.131      14.926      16.721              
         5.4        0.04      0.1127      0.0768      0.0256       2.101      14.713      16.363              
         8.1        0.06      0.1675      0.0751      0.0252       2.072      14.507      15.987              
        10.9        0.08      0.2209      0.0732      0.0249       2.042      14.303      15.590              
        13.6        0.09      0.2727      0.0713      0.0245       2.013      14.098      15.176              
        16.3        0.11      0.3225      0.0692      0.0242       1.984      13.893      14.741              
        19.0        0.13      0.3702      0.0671      0.0238       1.954      13.682      14.283              
        21.7        0.15      0.4156      0.0648      0.0234       1.923      13.463      13.805              
        24.4        0.17      0.4585      0.0625      0.0230       1.889      13.231      13.304              
        27.1        0.19      0.4986      0.0600      0.0226       1.854      12.986      12.781              
        29.8        0.21      0.5359      0.0575      0.0222       1.818      12.731      12.242              
        32.6        0.23      0.5706      0.0549      0.0217       1.778      12.453      11.688              
        35.3        0.24      0.6030      0.0522      0.0211       1.734      12.145      11.119              
        38.0        0.26      0.6332      0.0495      0.0205       1.685      11.800      10.535              
        40.7        0.28      0.6612      0.0467      0.0199       1.631      11.420       9.936              
        43.4        0.30      0.6870      0.0438      0.0191       1.570      10.998       9.321              
        46.1        0.32      0.7102      0.0408      0.0183       1.505      10.541       8.692              
        48.8        0.34      0.7306      0.0378      0.0175       1.435      10.046       8.048              
        51.5        0.36      0.7481      0.0347      0.0165       1.357       9.503       7.386              
        54.3        0.38      0.7625      0.0315      0.0155       1.273       8.918       6.711              
        57.0        0.39      0.7734      0.0283      0.0144       1.183       8.283       6.021              
        59.7        0.41      0.7792      0.0250      0.0133       1.087       7.613       5.322              
        62.4        0.43      0.7784      0.0216      0.0120       0.984       6.891       4.603              
        65.1        0.45      0.7681      0.0182      0.0107       0.875       6.128       3.871              
        67.8        0.47      0.7465      0.0147      0.0092       0.757       5.302       3.125              
        70.5        0.49      0.7052      0.0111      0.0077       0.630       4.415       2.364              
        73.3        0.51      0.6221      0.0075      0.0061       0.499       3.494       1.589              
        76.0        0.53      0.4450      0.0038      0.0044       0.365       2.553       0.801              
        78.7        0.54     -0.0008      0.0000      0.0030       0.248       1.737      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
