                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0889      0.0333       0.021       1.345       0.940              
         0.5        0.02      0.0630      0.0878      0.0336       0.022       1.356       0.928              
         1.1        0.05      0.1234      0.0865      0.0338       0.022       1.365       0.915              
         1.6        0.07      0.1811      0.0851      0.0340       0.022       1.372       0.899              
         2.2        0.10      0.2359      0.0835      0.0341       0.022       1.378       0.883              
         2.7        0.12      0.2877      0.0817      0.0342       0.022       1.382       0.864              
         3.3        0.14      0.3368      0.0798      0.0343       0.022       1.384       0.844              
         3.8        0.17      0.3827      0.0778      0.0343       0.022       1.384       0.822              
         4.4        0.19      0.4255      0.0756      0.0343       0.022       1.383       0.799              
         4.9        0.22      0.4651      0.0732      0.0342       0.022       1.379       0.774              
         5.5        0.24      0.5014      0.0707      0.0340       0.022       1.372       0.747              
         6.0        0.27      0.5345      0.0680      0.0338       0.022       1.363       0.719              
         6.6        0.29      0.5643      0.0652      0.0334       0.021       1.348       0.689              
         7.1        0.31      0.5908      0.0621      0.0329       0.021       1.329       0.656              
         7.7        0.34      0.6142      0.0588      0.0323       0.021       1.305       0.622              
         8.2        0.36      0.6343      0.0555      0.0316       0.020       1.276       0.586              
         8.8        0.39      0.6514      0.0520      0.0308       0.020       1.244       0.550              
         9.3        0.41      0.6654      0.0485      0.0299       0.019       1.206       0.513              
         9.9        0.43      0.6775      0.0449      0.0288       0.018       1.161       0.475              
        10.4        0.46      0.6871      0.0412      0.0275       0.018       1.110       0.436              
        11.0        0.48      0.6948      0.0375      0.0260       0.017       1.049       0.396              
        11.5        0.51      0.6996      0.0336      0.0243       0.016       0.982       0.355              
        12.1        0.53      0.7012      0.0296      0.0224       0.014       0.905       0.313              
        12.6        0.55      0.7001      0.0256      0.0203       0.013       0.819       0.271              
        13.1        0.58      0.6925      0.0215      0.0180       0.012       0.725       0.227              
        13.7        0.60      0.6736      0.0173      0.0155       0.010       0.626       0.183              
        14.2        0.63      0.6371      0.0131      0.0129       0.008       0.519       0.138              
        14.8        0.65      0.5670      0.0088      0.0100       0.006       0.406       0.093              
        15.3        0.67      0.4103      0.0044      0.0072       0.005       0.291       0.046              
        15.9        0.70     -0.0022      0.0000      0.0048       0.003       0.193       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
