                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0932      0.0329       4.556      47.861      35.449              
         3.3        0.02      0.0664      0.0928      0.0337       4.656      48.909      35.294              
         6.6        0.05      0.1294      0.0919      0.0342       4.733      49.715      34.977              
         9.9        0.07      0.1894      0.0907      0.0346       4.784      50.257      34.495              
        13.1        0.10      0.2464      0.0891      0.0348       4.819      50.618      33.903              
        16.4        0.12      0.3006      0.0873      0.0350       4.839      50.832      33.231              
        19.7        0.14      0.3521      0.0854      0.0350       4.846      50.906      32.483              
        23.0        0.17      0.4011      0.0832      0.0350       4.839      50.827      31.661              
        26.3        0.19      0.4475      0.0809      0.0348       4.818      50.606      30.776              
        29.6        0.22      0.4915      0.0784      0.0346       4.783      50.241      29.829              
        32.8        0.24      0.5329      0.0757      0.0342       4.735      49.736      28.818              
        36.1        0.26      0.5717      0.0729      0.0338       4.674      49.094      27.744              
        39.4        0.29      0.6080      0.0699      0.0332       4.595      48.270      26.590              
        42.7        0.31      0.6414      0.0666      0.0325       4.499      47.255      25.349              
        46.0        0.34      0.6726      0.0632      0.0317       4.379      46.001      24.029              
        49.3        0.36      0.7018      0.0596      0.0306       4.241      44.544      22.658              
        52.5        0.39      0.7284      0.0559      0.0295       4.088      42.941      21.255              
        55.8        0.41      0.7526      0.0521      0.0283       3.919      41.168      19.815              
        59.1        0.43      0.7749      0.0482      0.0270       3.731      39.191      18.343              
        62.4        0.46      0.7950      0.0442      0.0255       3.522      37.000      16.834              
        65.7        0.48      0.8126      0.0402      0.0238       3.296      34.618      15.292              
        69.0        0.51      0.8270      0.0361      0.0220       3.050      32.040      13.719              
        72.2        0.53      0.8376      0.0318      0.0201       2.786      29.260      12.112              
        75.5        0.55      0.8435      0.0275      0.0181       2.501      26.273      10.476              
        78.8        0.58      0.8428      0.0232      0.0159       2.197      23.073       8.809              
        82.1        0.60      0.8333      0.0187      0.0135       1.865      19.587       7.098              
        85.4        0.63      0.8096      0.0141      0.0109       1.509      15.851       5.366              
        88.7        0.65      0.7553      0.0095      0.0082       1.128      11.845       3.603              
        91.9        0.67      0.5991      0.0048      0.0053       0.740       7.773       1.808              
        95.2        0.70     -0.0095      0.0000      0.0033       0.459       4.817      -0.017              
                                                                                                              
                                                                                                              
                                                                                                              
