                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0844      0.0801       7.075      63.702      21.079              
         3.5        0.03      0.0287      0.0843      0.0766       6.762      60.879      21.043              
         6.9        0.05      0.0602      0.0841      0.0729       6.434      57.927      20.995              
        10.4        0.08      0.0950      0.0838      0.0690       6.096      54.888      20.933              
        13.8        0.10      0.1339      0.0835      0.0651       5.747      51.740      20.854              
        17.3        0.13      0.1776      0.0831      0.0610       5.388      48.516      20.745              
        20.8        0.16      0.2269      0.0825      0.0569       5.024      45.231      20.592              
        24.2        0.18      0.2825      0.0816      0.0527       4.655      41.915      20.368              
        27.7        0.21      0.3445      0.0803      0.0486       4.295      38.673      20.050              
        31.1        0.23      0.4116      0.0786      0.0448       3.959      35.647      19.627              
        34.6        0.26      0.4804      0.0765      0.0415       3.668      33.022      19.100              
        38.1        0.29      0.5468      0.0740      0.0388       3.428      30.867      18.475              
        41.5        0.31      0.6070      0.0710      0.0366       3.236      29.131      17.741              
        45.0        0.34      0.6563      0.0674      0.0348       3.075      27.689      16.830              
        48.4        0.37      0.6912      0.0638      0.0337       2.976      26.796      15.929              
        51.9        0.39      0.7202      0.0601      0.0327       2.886      25.982      15.019              
        55.3        0.42      0.7466      0.0564      0.0315       2.784      25.071      14.086              
        58.8        0.44      0.7706      0.0526      0.0303       2.672      24.058      13.130              
        62.3        0.47      0.7923      0.0487      0.0289       2.547      22.935      12.154              
        65.7        0.50      0.8118      0.0447      0.0273       2.409      21.688      11.157              
        69.2        0.52      0.8291      0.0406      0.0255       2.256      20.311      10.137              
        72.6        0.55      0.8438      0.0364      0.0236       2.088      18.795       9.093              
        76.1        0.57      0.8553      0.0321      0.0216       1.904      17.141       8.023              
        79.6        0.60      0.8626      0.0277      0.0193       1.704      15.344       6.929              
        83.0        0.63      0.8647      0.0233      0.0169       1.488      13.401       5.813              
        86.5        0.65      0.8555      0.0187      0.0143       1.262      11.362       4.681              
        89.9        0.68      0.8211      0.0142      0.0117       1.033       9.300       3.536              
        93.4        0.70      0.7393      0.0095      0.0091       0.800       7.207       2.376              
        96.9        0.73      0.5488      0.0048      0.0064       0.562       5.057       1.193              
       100.3        0.76     -0.0056      0.0000      0.0038       0.333       2.999      -0.007              
                                                                                                              
                                                                                                              
                                                                                                              
