                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0810      0.0397      10.221      64.418      41.279              
         4.9        0.03      0.0525      0.0810      0.0403      10.381      65.425      41.310              
         9.9        0.05      0.1032      0.0811      0.0411      10.568      66.606      41.344              
        14.8        0.08      0.1521      0.0812      0.0418      10.760      67.816      41.379              
        19.8        0.10      0.1995      0.0813      0.0425      10.949      69.006      41.415              
        24.7        0.13      0.2441      0.0813      0.0435      11.194      70.552      41.456              
        29.7        0.16      0.2867      0.0814      0.0445      11.451      72.170      41.496              
        34.6        0.18      0.3263      0.0815      0.0456      11.748      74.042      41.540              
        39.6        0.21      0.3991      0.0813      0.0426      10.954      69.037      41.452              
        44.5        0.23      0.4252      0.0815      0.0450      11.588      73.031      41.526              
        49.4        0.26      0.4194      0.0818      0.0509      13.111      82.630      41.712              
        54.4        0.29      0.4565      0.0819      0.0515      13.257      83.551      41.730              
        59.3        0.31      0.4963      0.0816      0.0515      13.253      83.527      41.573              
        64.3        0.34      0.5369      0.0794      0.0502      12.924      81.456      40.487              
        69.2        0.37      0.5770      0.0765      0.0484      12.472      78.603      38.986              
        74.2        0.39      0.6164      0.0732      0.0465      11.969      75.437      37.309              
        79.1        0.42      0.6460      0.0696      0.0450      11.589      73.043      35.494              
        84.0        0.44      0.6714      0.0659      0.0436      11.215      70.685      33.597              
        89.0        0.47      0.6942      0.0620      0.0420      10.807      68.114      31.617              
        93.9        0.50      0.7145      0.0580      0.0403      10.363      65.313      29.558              
        98.9        0.52      0.7372      0.0528      0.0374       9.624      60.653      26.906              
       103.8        0.55      0.7551      0.0470      0.0341       8.788      55.387      23.969              
       108.8        0.57      0.7672      0.0414      0.0310       7.980      50.293      21.107              
       113.7        0.60      0.7757      0.0359      0.0278       7.152      45.075      18.296              
       118.7        0.63      0.7806      0.0304      0.0244       6.288      39.633      15.514              
       123.6        0.65      0.7752      0.0249      0.0209       5.392      33.984      12.682              
       128.5        0.68-NaN        -NaN        -NaN        -NaN        -NaN        -NaN                      
       133.5        0.70      0.6352      0.0125      0.0138       3.564      22.463       6.360              
       138.4        0.73-NaN        -NaN        -NaN        -NaN        -NaN        -NaN                      
       143.4        0.76     -0.0254     -0.0003      0.0076       1.958      12.341      -0.130              
                                                                                                              
                                                                                                              
                                                                                                              
