                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0820      0.0520       9.764      68.377      33.837              
         4.4        0.03      0.0417      0.0820      0.0512       9.609      67.287      33.844              
         8.9        0.05      0.0848      0.0820      0.0504       9.449      66.169      33.849              
        13.3        0.08      0.1296      0.0820      0.0494       9.275      64.950      33.849              
        17.8        0.10      0.1761      0.0820      0.0485       9.098      63.710      33.836              
        22.2        0.13      0.2244      0.0819      0.0475       8.918      62.450      33.808              
        26.6        0.16      0.2739      0.0818      0.0467       8.757      61.321      33.766              
        31.1        0.18      0.3252      0.0817      0.0458       8.590      60.157      33.710              
        35.5        0.21      0.3775      0.0815      0.0450       8.440      59.107      33.643              
        40.0        0.23      0.4301      0.0813      0.0443       8.317      58.244      33.570              
        44.4        0.26      0.4817      0.0811      0.0439       8.232      57.644      33.495              
        48.8        0.29      0.5353      0.0801      0.0429       8.043      56.325      33.060              
        53.3        0.31      0.5866      0.0777      0.0414       7.767      54.389      32.068              
        57.7        0.34      0.6309      0.0743      0.0399       7.481      52.385      30.662              
        62.2        0.36      0.6684      0.0702      0.0383       7.186      50.325      28.981              
        66.6        0.39      0.7034      0.0659      0.0366       6.869      48.106      27.210              
        71.0        0.42      0.7357      0.0615      0.0349       6.540      45.799      25.402              
        75.5        0.44      0.7620      0.0573      0.0333       6.247      43.748      23.653              
        79.9        0.47      0.7850      0.0530      0.0317       5.945      41.631      21.900              
        84.4        0.49      0.8060      0.0489      0.0300       5.630      39.424      20.172              
        88.8        0.52      0.8247      0.0445      0.0281       5.270      36.902      18.353              
        93.2        0.55      0.8414      0.0399      0.0260       4.873      34.123      16.490              
        97.7        0.57      0.8556      0.0353      0.0236       4.437      31.070      14.574              
       102.1        0.60      0.8662      0.0306      0.0212       3.970      27.801      12.629              
       106.6        0.63      0.8714      0.0258      0.0185       3.472      24.316      10.649              
       111.0        0.65      0.8654      0.0209      0.0157       2.949      20.649       8.621              
       115.4        0.68      0.8376      0.0159      0.0128       2.405      16.845       6.545              
       119.9        0.70      0.7627      0.0107      0.0099       1.850      12.958       4.415              
       124.3        0.73      0.5648      0.0054      0.0070       1.307       9.150       2.226              
       128.8        0.76     -0.0069      0.0000      0.0043       0.804       5.633      -0.016              
                                                                                                              
                                                                                                              
                                                                                                              
