                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0808      0.0421       0.693      10.917       6.589              
         2.0        0.03      0.0508      0.0806      0.0415       0.683      10.760       6.574              
         4.0        0.05      0.1027      0.0803      0.0408       0.673      10.598       6.553              
         5.9        0.08      0.1558      0.0800      0.0402       0.662      10.434       6.523              
         7.9        0.10      0.2100      0.0795      0.0395       0.651      10.262       6.484              
         9.9        0.13      0.2648      0.0789      0.0389       0.640      10.086       6.431              
        11.9        0.16      0.3201      0.0780      0.0382       0.629       9.906       6.362              
        13.8        0.18      0.3752      0.0769      0.0375       0.617       9.723       6.274              
        15.8        0.21      0.4293      0.0756      0.0368       0.606       9.542       6.164              
        17.8        0.23      0.4817      0.0740      0.0361       0.594       9.361       6.031              
        19.8        0.26      0.5315      0.0720      0.0354       0.583       9.182       5.875              
        21.7        0.29      0.5779      0.0698      0.0347       0.571       9.000       5.691              
        23.7        0.31      0.6200      0.0670      0.0339       0.558       8.791       5.467              
        25.7        0.34      0.6566      0.0637      0.0329       0.542       8.544       5.194              
        27.7        0.37      0.6862      0.0603      0.0321       0.529       8.337       4.919              
        29.7        0.39      0.7128      0.0569      0.0312       0.514       8.106       4.637              
        31.6        0.42      0.7369      0.0533      0.0302       0.498       7.841       4.347              
        33.6        0.44      0.7582      0.0497      0.0291       0.479       7.545       4.051              
        35.6        0.47      0.7768      0.0460      0.0278       0.458       7.213       3.747              
        37.6        0.50      0.7927      0.0421      0.0264       0.434       6.844       3.437              
        39.5        0.52      0.8059      0.0383      0.0248       0.408       6.433       3.120              
        41.5        0.55      0.8162      0.0343      0.0230       0.379       5.978       2.797              
        43.5        0.57      0.8214      0.0303      0.0212       0.349       5.491       2.468              
        45.5        0.60      0.8223      0.0262      0.0191       0.315       4.957       2.133              
        47.5        0.63      0.8184      0.0220      0.0168       0.277       4.365       1.792              
        49.4        0.65      0.8024      0.0177      0.0144       0.237       3.738       1.444              
        51.4        0.68      0.7611      0.0134      0.0119       0.196       3.094       1.090              
        53.4        0.70      0.6739      0.0090      0.0094       0.154       2.432       0.731              
        55.4        0.73      0.4844      0.0045      0.0068       0.112       1.761       0.367              
        57.3        0.76     -0.0052      0.0000      0.0043       0.071       1.113      -0.002              
                                                                                                              
                                                                                                              
                                                                                                              
