                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0996      0.0470       0.253       5.306       3.722              
         1.5        0.03      0.0580      0.0993      0.0468       0.252       5.290       3.709              
         3.0        0.05      0.1157      0.0987      0.0466       0.251       5.270       3.689              
         4.4        0.08      0.1732      0.0979      0.0464       0.249       5.241       3.660              
         5.9        0.11      0.2300      0.0969      0.0461       0.248       5.205       3.621              
         7.4        0.14      0.2856      0.0957      0.0458       0.246       5.172       3.574              
         8.9        0.16      0.3396      0.0941      0.0455       0.245       5.137       3.517              
        10.3        0.19      0.3913      0.0923      0.0452       0.243       5.102       3.450              
        11.8        0.22      0.4407      0.0903      0.0448       0.241       5.063       3.374              
        13.3        0.25      0.4873      0.0880      0.0444       0.239       5.017       3.286              
        14.8        0.27      0.5312      0.0853      0.0439       0.236       4.962       3.189              
        16.2        0.30      0.5721      0.0824      0.0433       0.233       4.897       3.080              
        17.7        0.33      0.6096      0.0792      0.0426       0.229       4.817       2.960              
        19.2        0.36      0.6436      0.0757      0.0418       0.225       4.723       2.828              
        20.7        0.38      0.6742      0.0718      0.0407       0.219       4.603       2.681              
        22.1        0.41      0.7012      0.0676      0.0396       0.213       4.469       2.527              
        23.6        0.44      0.7252      0.0634      0.0382       0.206       4.321       2.369              
        25.1        0.46      0.7465      0.0591      0.0368       0.198       4.156       2.207              
        26.6        0.49      0.7650      0.0547      0.0352       0.189       3.973       2.043              
        28.0        0.52      0.7811      0.0502      0.0334       0.179       3.769       1.874              
        29.5        0.55      0.7948      0.0455      0.0313       0.168       3.539       1.701              
        31.0        0.57      0.8044      0.0408      0.0291       0.156       3.288       1.523              
        32.5        0.60      0.8085      0.0359      0.0267       0.144       3.019       1.342              
        33.9        0.63      0.8084      0.0310      0.0241       0.130       2.722       1.157              
        35.4        0.66      0.8015      0.0259      0.0212       0.114       2.398       0.968              
        36.9        0.68      0.7805      0.0208      0.0182       0.098       2.060       0.778              
        38.4        0.71      0.7371      0.0157      0.0151       0.081       1.708       0.586              
        39.8        0.74      0.6518      0.0105      0.0119       0.064       1.345       0.393              
        41.3        0.77      0.4656      0.0053      0.0087       0.047       0.980       0.197              
        42.8        0.79     -0.0015      0.0000      0.0056       0.030       0.637       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
