                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1020      0.0491       0.728       6.554       6.118              
         2.1        0.02      0.0485      0.1005      0.0476       0.706       6.356       6.024              
         4.3        0.05      0.0982      0.0987      0.0462       0.685       6.168       5.921              
         6.4        0.07      0.1487      0.0969      0.0448       0.665       5.991       5.810              
         8.5        0.09      0.1997      0.0949      0.0436       0.647       5.825       5.689              
        10.6        0.11      0.2508      0.0927      0.0424       0.629       5.667       5.559              
        12.8        0.14      0.3014      0.0904      0.0413       0.613       5.518       5.420              
        14.9        0.16      0.3511      0.0879      0.0402       0.597       5.375       5.273              
        17.0        0.18      0.3996      0.0853      0.0392       0.582       5.236       5.116              
        19.2        0.21      0.4466      0.0825      0.0382       0.566       5.099       4.948              
        21.3        0.23      0.4916      0.0796      0.0371       0.551       4.963       4.771              
        23.4        0.25      0.5341      0.0765      0.0361       0.536       4.828       4.585              
        25.6        0.28      0.5741      0.0732      0.0351       0.521       4.689       4.388              
        27.7        0.30      0.6107      0.0697      0.0340       0.505       4.547       4.178              
        29.8        0.32      0.6430      0.0659      0.0329       0.489       4.401       3.954              
        31.9        0.34      0.6710      0.0622      0.0319       0.473       4.260       3.727              
        34.1        0.37      0.6965      0.0583      0.0307       0.456       4.106       3.496              
        36.2        0.39      0.7197      0.0543      0.0295       0.437       3.935       3.258              
        38.3        0.41      0.7403      0.0503      0.0281       0.416       3.749       3.015              
        40.5        0.44      0.7578      0.0461      0.0265       0.394       3.547       2.767              
        42.6        0.46      0.7723      0.0419      0.0249       0.370       3.329       2.515              
        44.7        0.48      0.7839      0.0376      0.0231       0.343       3.088       2.254              
        46.8        0.50      0.7920      0.0332      0.0211       0.314       2.825       1.989              
        49.0        0.53      0.7953      0.0287      0.0190       0.282       2.541       1.718              
        51.1        0.55      0.7871      0.0241      0.0168       0.250       2.249       1.442              
        53.2        0.57      0.7649      0.0194      0.0145       0.215       1.940       1.161              
        55.4        0.60      0.7212      0.0146      0.0121       0.179       1.612       0.875              
        57.5        0.62      0.6402      0.0098      0.0095       0.140       1.264       0.586              
        59.6        0.64      0.4654      0.0049      0.0068       0.101       0.908       0.295              
        61.8        0.67     -0.0008      0.0000      0.0045       0.067       0.601       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
