                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0992      0.0393       0.213       2.679       3.035              
         1.5        0.02      0.0573      0.0977      0.0391       0.211       2.664       2.989              
         3.0        0.05      0.1134      0.0961      0.0388       0.210       2.647       2.939              
         4.6        0.07      0.1681      0.0943      0.0386       0.209       2.630       2.886              
         6.1        0.09      0.2211      0.0924      0.0383       0.207       2.612       2.828              
         7.6        0.11      0.2724      0.0904      0.0380       0.206       2.593       2.765              
         9.1        0.14      0.3216      0.0882      0.0377       0.204       2.572       2.699              
        10.6        0.16      0.3688      0.0859      0.0374       0.202       2.548       2.628              
        12.2        0.18      0.4137      0.0835      0.0370       0.200       2.521       2.553              
        13.7        0.21      0.4564      0.0808      0.0365       0.198       2.490       2.473              
        15.2        0.23      0.4966      0.0781      0.0360       0.195       2.456       2.388              
        16.7        0.25      0.5343      0.0751      0.0355       0.192       2.417       2.299              
        18.2        0.28      0.5694      0.0720      0.0348       0.188       2.371       2.203              
        19.7        0.30      0.6016      0.0687      0.0340       0.184       2.318       2.101              
        21.3        0.32      0.6307      0.0651      0.0331       0.179       2.256       1.990              
        22.8        0.34      0.6566      0.0614      0.0321       0.174       2.190       1.877              
        24.3        0.37      0.6802      0.0575      0.0310       0.168       2.115       1.760              
        25.8        0.39      0.7014      0.0536      0.0298       0.161       2.031       1.641              
        27.3        0.41      0.7196      0.0496      0.0285       0.154       1.940       1.519              
        28.9        0.44      0.7342      0.0456      0.0270       0.146       1.842       1.394              
        30.4        0.46      0.7456      0.0414      0.0254       0.138       1.734       1.266              
        31.9        0.48      0.7539      0.0371      0.0237       0.128       1.615       1.135              
        33.4        0.50      0.7589      0.0328      0.0218       0.118       1.483       1.002              
        34.9        0.53      0.7585      0.0283      0.0197       0.106       1.340       0.866              
        36.5        0.55      0.7477      0.0238      0.0175       0.095       1.192       0.727              
        38.0        0.57      0.7235      0.0192      0.0152       0.082       1.034       0.586              
        39.5        0.60      0.6779      0.0145      0.0127       0.069       0.867       0.443              
        41.0        0.62      0.5939      0.0097      0.0101       0.055       0.690       0.297              
        42.5        0.64      0.4223      0.0049      0.0074       0.040       0.507       0.150              
        44.1        0.66     -0.0011      0.0000      0.0050       0.027       0.342       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
