                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1036      0.0537       1.191       9.379       8.116              
         2.4        0.02      0.0453      0.1020      0.0516       1.144       9.013       7.991              
         4.9        0.05      0.0925      0.1003      0.0497       1.101       8.670       7.853              
         7.3        0.07      0.1413      0.0984      0.0479       1.060       8.351       7.703              
         9.7        0.09      0.1912      0.0963      0.0461       1.022       8.053       7.541              
        12.1        0.11      0.2418      0.0941      0.0446       0.987       7.776       7.366              
        14.6        0.14      0.2925      0.0917      0.0431       0.954       7.518       7.180              
        17.0        0.16      0.3429      0.0892      0.0417       0.924       7.276       6.983              
        19.4        0.18      0.3926      0.0865      0.0404       0.894       7.044       6.772              
        21.9        0.21      0.4410      0.0836      0.0391       0.866       6.821       6.548              
        24.3        0.23      0.4877      0.0806      0.0379       0.838       6.606       6.311              
        26.7        0.25      0.5321      0.0774      0.0367       0.812       6.397       6.063              
        29.2        0.27      0.5740      0.0741      0.0355       0.786       6.190       5.801              
        31.6        0.30      0.6125      0.0705      0.0343       0.759       5.982       5.522              
        34.0        0.32      0.6462      0.0667      0.0331       0.734       5.779       5.226              
        36.4        0.34      0.6752      0.0629      0.0320       0.709       5.589       4.928              
        38.9        0.37      0.7015      0.0590      0.0308       0.683       5.382       4.623              
        41.3        0.39      0.7256      0.0550      0.0295       0.654       5.155       4.311              
        43.7        0.41      0.7474      0.0510      0.0281       0.623       4.906       3.991              
        46.2        0.44      0.7663      0.0468      0.0266       0.589       4.637       3.664              
        48.6        0.46      0.7824      0.0425      0.0249       0.551       4.344       3.329              
        51.0        0.48      0.7956      0.0381      0.0231       0.511       4.024       2.986              
        53.5        0.50      0.8054      0.0337      0.0211       0.466       3.675       2.636              
        55.9        0.53      0.8107      0.0291      0.0189       0.419       3.299       2.278              
        58.3        0.55      0.8044      0.0244      0.0167       0.370       2.915       1.914              
        60.7        0.57      0.7843      0.0197      0.0144       0.319       2.512       1.544              
        63.2        0.60      0.7430      0.0149      0.0119       0.265       2.085       1.167              
        65.6        0.62      0.6652      0.0100      0.0093       0.206       1.624       0.784              
        68.0        0.64      0.4917      0.0050      0.0066       0.146       1.147       0.395              
        70.5        0.66     -0.0009      0.0000      0.0042       0.093       0.735       0.000              
                                                                                                              
                                                                                                              
                                                                                                              
