                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1088      0.0683      12.104      47.678      34.096              
         4.8        0.02      0.0361      0.1086      0.0678      12.020      47.347      34.026              
         9.6        0.05      0.0726      0.1084      0.0674      11.936      47.015      33.949              
        14.4        0.07      0.1094      0.1081      0.0669      11.861      46.720      33.860              
        19.2        0.09      0.1455      0.1078      0.0669      11.856      46.704      33.777              
        23.9        0.11      0.1820      0.1075      0.0667      11.812      46.530      33.679              
        28.7        0.14      0.2181      0.1072      0.0665      11.792      46.450      33.574              
        33.5        0.16      0.2563      0.1065      0.0657      11.640      45.852      33.370              
        38.3        0.18      0.2931      0.1054      0.0649      11.506      45.325      33.018              
        43.1        0.20      0.3313      0.1039      0.0637      11.293      44.482      32.554              
        47.9        0.23      0.3701      0.1017      0.0620      10.994      43.307      31.861              
        52.7        0.25      0.4047      0.0984      0.0604      10.700      42.147      30.831              
        57.5        0.27      0.4356      0.0951      0.0591      10.479      41.276      29.787              
        62.3        0.29      0.4630      0.0916      0.0580      10.285      40.514      28.687              
        67.0        0.32      0.4884      0.0879      0.0569      10.076      39.690      27.526              
        71.8        0.34      0.5113      0.0837      0.0555       9.827      38.711      26.231              
        76.6        0.36      0.5329      0.0792      0.0537       9.509      37.456      24.801              
        81.4        0.38      0.5520      0.0740      0.0515       9.123      35.938      23.197              
        86.2        0.41      0.5687      0.0687      0.0491       8.705      34.291      21.537              
        91.0        0.43      0.5823      0.0633      0.0466       8.265      32.557      19.834              
        95.8        0.45      0.5928      0.0580      0.0442       7.832      30.850      18.177              
       100.6        0.47      0.5985      0.0529      0.0419       7.427      29.255      16.577              
       105.4        0.50      0.5974      0.0482      0.0401       7.105      27.987      15.108              
       110.1        0.52      0.5858      0.0428      0.0379       6.725      26.489      13.412              
       114.9        0.54-NaN        -NaN        -NaN        -NaN        -NaN        -NaN                      
       119.7        0.56      0.5160      0.0289      0.0316       5.600      22.060       9.052              
       124.5        0.59      0.4628      0.0226      0.0287       5.086      20.034       7.089              
       129.3        0.61      0.3442      0.0138      0.0244       4.325      17.038       4.319              
       134.1        0.63      0.2201      0.0074      0.0212       3.755      14.792       2.312              
       138.9        0.65     -0.0164     -0.0004      0.0175       3.105      12.232      -0.137              
                                                                                                              
                                                                                                              
                                                                                                              
