                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1102      0.0536       7.820      32.856      30.331              
         4.5        0.02      0.0455      0.1102      0.0554       8.089      33.987      30.340              
         9.1        0.05      0.0878      0.1102      0.0574       8.385      35.232      30.353              
        13.6        0.07      0.1270      0.1103      0.0596       8.696      36.538      30.365              
        18.2        0.09      0.1647      0.1103      0.0612       8.942      37.570      30.369              
        22.7        0.11      0.2063      0.1096      0.0607       8.864      37.243      30.178              
        27.3        0.14      0.2485      0.1084      0.0598       8.732      36.690      29.837              
        31.8        0.16      0.2909      0.1068      0.0587       8.578      36.042      29.410              
        36.4        0.18      0.3330      0.1050      0.0576       8.415      35.357      28.899              
        40.9        0.21      0.3747      0.1026      0.0564       8.229      34.578      28.264              
        45.5        0.23      0.4108      0.1000      0.0556       8.124      34.136      27.537              
        50.0        0.25      0.4450      0.0970      0.0548       8.000      33.614      26.699              
        54.5        0.27      0.4762      0.0938      0.0540       7.889      33.147      25.826              
        59.1        0.30      0.5061      0.0902      0.0530       7.735      32.502      24.841              
        63.6        0.32      0.5330      0.0864      0.0519       7.575      31.827      23.788              
        68.2        0.34      0.5587      0.0820      0.0503       7.344      30.859      22.567              
        72.7        0.37      0.5859      0.0769      0.0480       7.008      29.445      21.171              
        77.3        0.39      0.6126      0.0715      0.0454       6.626      27.839      19.696              
        81.8        0.41      0.6369      0.0661      0.0427       6.234      26.195      18.199              
        86.4        0.43      0.6549      0.0607      0.0403       5.879      24.703      16.720              
        90.9        0.46      0.6699      0.0554      0.0378       5.524      23.210      15.265              
        95.5        0.48      0.6816      0.0502      0.0354       5.163      21.692      13.823              
       100.0        0.50      0.6886      0.0449      0.0328       4.791      20.129      12.369              
       104.5        0.53      0.6888      0.0397      0.0303       4.426      18.597      10.935              
       109.1        0.55      0.6721      0.0343      0.0280       4.082      17.152       9.431              
       113.6        0.57      0.6301      0.0281      0.0255       3.719      15.624       7.732              
       118.2        0.59      0.5635      0.0215      0.0226       3.305      13.886       5.909              
       122.7        0.62      0.4577      0.0145      0.0196       2.857      12.002       3.995              
       127.3        0.64      0.2902      0.0073      0.0162       2.359       9.912       2.017              
       131.8        0.66     -0.0015      0.0000      0.0131       1.919       8.063      -0.008              
                                                                                                              
                                                                                                              
                                                                                                              
