                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1054      0.0501       2.167      13.657      12.894              
         3.0        0.02      0.0490      0.1038      0.0485       2.100      13.236      12.705              
         6.1        0.05      0.0993      0.1021      0.0471       2.038      12.846      12.496              
         9.1        0.07      0.1504      0.1002      0.0458       1.981      12.486      12.266              
        12.1        0.09      0.2019      0.0982      0.0446       1.928      12.151      12.016              
        15.2        0.11      0.2533      0.0960      0.0434       1.878      11.834      11.745              
        18.2        0.14      0.3041      0.0936      0.0423       1.830      11.536      11.456              
        21.3        0.16      0.3539      0.0911      0.0413       1.786      11.254      11.148              
        24.3        0.18      0.4024      0.0884      0.0403       1.742      10.980      10.820              
        27.3        0.21      0.4492      0.0856      0.0393       1.699      10.709      10.471              
        30.4        0.23      0.4939      0.0826      0.0383       1.656      10.440      10.102              
        33.4        0.25      0.5363      0.0794      0.0373       1.614      10.171       9.715              
        36.4        0.27      0.5761      0.0760      0.0363       1.570       9.892       9.305              
        39.5        0.30      0.6130      0.0725      0.0352       1.523       9.598       8.868              
        42.5        0.32      0.6462      0.0686      0.0341       1.474       9.287       8.399              
        45.6        0.34      0.6757      0.0647      0.0329       1.424       8.975       7.921              
        48.6        0.37      0.7028      0.0607      0.0317       1.370       8.635       7.431              
        51.6        0.39      0.7277      0.0566      0.0303       1.311       8.263       6.930              
        54.7        0.41      0.7504      0.0524      0.0288       1.246       7.855       6.416              
        57.7        0.44      0.7707      0.0481      0.0272       1.176       7.413       5.891              
        60.7        0.46      0.7880      0.0437      0.0254       1.100       6.933       5.352              
        63.8        0.48      0.8022      0.0392      0.0235       1.018       6.413       4.800              
        66.8        0.50      0.8128      0.0346      0.0215       0.929       5.855       4.238              
        69.8        0.53      0.8183      0.0299      0.0193       0.834       5.257       3.665              
        72.9        0.55      0.8146      0.0252      0.0170       0.735       4.635       3.082              
        75.9        0.57      0.7981      0.0203      0.0146       0.632       3.980       2.489              
        79.0        0.60      0.7614      0.0154      0.0120       0.521       3.286       1.885              
        82.0        0.62      0.6882      0.0104      0.0093       0.403       2.539       1.268              
        85.0        0.64      0.5170      0.0052      0.0065       0.280       1.765       0.639              
        88.1        0.66     -0.0007      0.0000      0.0040       0.174       1.100      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
