                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1039      0.0353       5.143      27.014      31.242              
         3.6        0.02      0.0577      0.1018      0.0352       5.125      26.917      30.615              
         7.2        0.04      0.1135      0.0997      0.0350       5.100      26.788      29.964              
        10.9        0.06      0.1674      0.0973      0.0348       5.067      26.611      29.254              
        14.5        0.08      0.2193      0.0949      0.0345       5.027      26.401      28.519              
        18.1        0.10      0.2692      0.0923      0.0342       4.979      26.153      27.746              
        21.7        0.12      0.3172      0.0896      0.0338       4.924      25.862      26.938              
        25.4        0.14      0.3632      0.0868      0.0333       4.858      25.517      26.084              
        29.0        0.16      0.4069      0.0838      0.0329       4.788      25.148      25.203              
        32.6        0.18      0.4486      0.0808      0.0323       4.709      24.733      24.289              
        36.2        0.20      0.4880      0.0776      0.0317       4.617      24.247      23.314              
        39.9        0.22      0.5253      0.0742      0.0310       4.516      23.716      22.316              
        43.5        0.24      0.5604      0.0708      0.0302       4.407      23.145      21.297              
        47.1        0.26      0.5933      0.0674      0.0294       4.291      22.536      20.266              
        50.7        0.28      0.6242      0.0639      0.0286       4.163      21.862      19.207              
        54.4        0.30      0.6524      0.0603      0.0276       4.026      21.146      18.124              
        58.0        0.32      0.6781      0.0566      0.0266       3.879      20.375      17.015              
        61.6        0.34      0.7013      0.0528      0.0255       3.721      19.543      15.885              
        65.2        0.36      0.7217      0.0489      0.0243       3.544      18.613      14.705              
        68.8        0.38      0.7389      0.0450      0.0230       3.358      17.635      13.513              
        72.5        0.40      0.7523      0.0409      0.0217       3.159      16.589      12.296              
        76.1        0.42      0.7599      0.0367      0.0202       2.947      15.477      11.035              
        79.7        0.44      0.7575      0.0324      0.0188       2.737      14.373       9.751              
        83.3        0.46      0.7452      0.0280      0.0172       2.514      13.204       8.429              
        87.0        0.48      0.7200      0.0235      0.0156       2.279      11.972       7.077              
        90.6        0.50      0.6776      0.0190      0.0140       2.037      10.698       5.714              
        94.2        0.52      0.6025      0.0144      0.0123       1.800       9.451       4.316              
        97.8        0.54      0.4765      0.0096      0.0108       1.577       8.282       2.880              
       101.5        0.56      0.3012      0.0048      0.0090       1.310       6.879       1.458              
       105.1        0.58     -0.0060     -0.0001      0.0075       1.092       5.738      -0.023              
                                                                                                              
                                                                                                              
                                                                                                              
