                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.1090      0.0459      10.628      47.846      44.584              
         4.2        0.02      0.0463      0.1086      0.0460      10.646      47.925      44.434              
         8.3        0.04      0.0922      0.1074      0.0457      10.580      47.631      43.960              
        12.5        0.06      0.1376      0.1060      0.0453      10.491      47.229      43.369              
        16.6        0.08      0.1825      0.1042      0.0448      10.369      46.680      42.637              
        20.8        0.10      0.2262      0.1017      0.0441      10.205      45.943      41.612              
        25.0        0.12      0.2683      0.0987      0.0433      10.018      45.100      40.383              
        29.1        0.14      0.3093      0.0956      0.0424       9.816      44.189      39.098              
        33.3        0.16      0.3489      0.0923      0.0415       9.605      43.240      37.752              
        37.4        0.18      0.3864      0.0889      0.0406       9.396      42.301      36.362              
        41.6        0.20      0.4211      0.0855      0.0398       9.223      41.520      35.002              
        45.8        0.22      0.4533      0.0823      0.0392       9.064      40.804      33.664              
        49.9        0.24      0.4835      0.0789      0.0384       8.891      40.025      32.286              
        54.1        0.25      0.5112      0.0754      0.0376       8.708      39.201      30.865              
        58.2        0.27      0.5369      0.0719      0.0368       8.506      38.293      29.400              
        62.4        0.29      0.5604      0.0682      0.0358       8.282      37.285      27.891              
        66.6        0.31      0.5813      0.0644      0.0347       8.042      36.203      26.333              
        70.7        0.33      0.5995      0.0603      0.0336       7.767      34.965      24.686              
        74.9        0.35      0.6140      0.0560      0.0322       7.453      33.551      22.916              
        79.1        0.37      0.6248      0.0515      0.0307       7.106      31.992      21.063              
        83.2        0.39      0.6293      0.0468      0.0292       6.753      30.399      19.150              
        87.4        0.41      0.6267      0.0420      0.0276       6.387      28.755      17.182              
        91.5        0.43      0.6169      0.0371      0.0259       5.999      27.006      15.162              
        95.7        0.45      0.6010      0.0322      0.0242       5.596      25.192      13.179              
        99.9        0.47      0.5682      0.0269      0.0223       5.152      23.193      10.993              
       104.0        0.49      0.5195      0.0218      0.0206       4.760      21.430       8.915              
       108.2        0.51      0.4452      0.0164      0.0188       4.342      19.549       6.701              
       112.3        0.53      0.3385      0.0108      0.0169       3.918      17.638       4.427              
       116.5        0.55      0.2100      0.0054      0.0142       3.285      14.788       2.221              
       120.7        0.57     -0.0069     -0.0002      0.0131       3.031      13.647      -0.065              
                                                                                                              
                                                                                                              
                                                                                                              
