                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0923      0.0323       0.589       6.183       6.935              
         1.8        0.02      0.0570      0.0904      0.0317       0.577       6.062       6.797              
         3.6        0.04      0.1135      0.0885      0.0311       0.567       5.959       6.651              
         5.4        0.06      0.1688      0.0864      0.0307       0.559       5.869       6.496              
         7.3        0.08      0.2225      0.0843      0.0302       0.551       5.789       6.332              
         9.1        0.10      0.2741      0.0820      0.0299       0.544       5.715       6.161              
        10.9        0.12      0.3233      0.0796      0.0295       0.537       5.644       5.981              
        12.7        0.14      0.3701      0.0771      0.0291       0.530       5.572       5.793              
        14.5        0.16      0.4142      0.0745      0.0287       0.523       5.497       5.597              
        16.3        0.18      0.4556      0.0718      0.0283       0.516       5.418       5.393              
        18.2        0.20      0.4941      0.0689      0.0279       0.508       5.333       5.181              
        20.0        0.22      0.5299      0.0661      0.0274       0.499       5.241       4.965              
        21.8        0.24      0.5634      0.0631      0.0268       0.489       5.135       4.742              
        23.6        0.26      0.5946      0.0600      0.0262       0.478       5.016       4.512              
        25.4        0.28      0.6233      0.0569      0.0255       0.465       4.884       4.276              
        27.2        0.30      0.6497      0.0537      0.0247       0.451       4.736       4.034              
        29.0        0.32      0.6736      0.0504      0.0239       0.435       4.572       3.785              
        30.9        0.34      0.6951      0.0470      0.0229       0.418       4.389       3.529              
        32.7        0.36      0.7138      0.0435      0.0219       0.399       4.189       3.267              
        34.5        0.38      0.7293      0.0399      0.0208       0.378       3.973       2.999              
        36.3        0.40      0.7414      0.0362      0.0195       0.356       3.736       2.724              
        38.1        0.42      0.7496      0.0325      0.0182       0.331       3.480       2.443              
        39.9        0.44      0.7524      0.0287      0.0167       0.305       3.202       2.154              
        41.8        0.46      0.7480      0.0248      0.0152       0.277       2.908       1.860              
        43.6        0.48      0.7326      0.0208      0.0136       0.248       2.601       1.562              
        45.4        0.50      0.7004      0.0167      0.0119       0.217       2.283       1.258              
        47.2        0.52      0.6431      0.0126      0.0102       0.186       1.953       0.950              
        49.0        0.54      0.5420      0.0085      0.0084       0.153       1.612       0.636              
        50.8        0.56      0.3582      0.0042      0.0066       0.121       1.268       0.319              
        52.6        0.58     -0.0051      0.0000      0.0049       0.089       0.931      -0.003              
                                                                                                              
                                                                                                              
                                                                                                              
