                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0898      0.0300       0.068       1.436       1.688              
         0.9        0.02      0.0585      0.0881      0.0301       0.069       1.441       1.656              
         1.8        0.04      0.1143      0.0863      0.0302       0.069       1.445       1.622              
         2.7        0.06      0.1674      0.0844      0.0302       0.069       1.447       1.586              
         3.6        0.08      0.2178      0.0824      0.0302       0.069       1.446       1.548              
         4.5        0.10      0.2656      0.0802      0.0302       0.069       1.444       1.507              
         5.5        0.12      0.3108      0.0780      0.0301       0.069       1.439       1.465              
         6.4        0.14      0.3533      0.0756      0.0299       0.068       1.432       1.420              
         7.3        0.16      0.3931      0.0731      0.0297       0.068       1.422       1.373              
         8.2        0.18      0.4303      0.0705      0.0295       0.067       1.410       1.325              
         9.1        0.20      0.4649      0.0678      0.0291       0.066       1.394       1.273              
        10.0        0.22      0.4969      0.0650      0.0288       0.065       1.376       1.221              
        10.9        0.24      0.5264      0.0621      0.0283       0.064       1.354       1.167              
        11.8        0.26      0.5533      0.0591      0.0278       0.063       1.328       1.110              
        12.7        0.28      0.5776      0.0560      0.0272       0.062       1.299       1.053              
        13.6        0.30      0.5992      0.0529      0.0265       0.060       1.266       0.994              
        14.5        0.32      0.6184      0.0496      0.0257       0.058       1.228       0.933              
        15.4        0.34      0.6352      0.0463      0.0248       0.056       1.185       0.870              
        16.4        0.36      0.6494      0.0429      0.0238       0.054       1.137       0.806              
        17.3        0.38      0.6603      0.0394      0.0227       0.052       1.084       0.740              
        18.2        0.40      0.6678      0.0358      0.0214       0.049       1.025       0.673              
        19.1        0.42      0.6719      0.0321      0.0201       0.046       0.960       0.603              
        20.0        0.44      0.6710      0.0283      0.0186       0.042       0.889       0.533              
        20.9        0.46      0.6636      0.0245      0.0170       0.039       0.812       0.460              
        21.8        0.48      0.6464      0.0206      0.0153       0.035       0.730       0.386              
        22.7        0.50      0.6137      0.0166      0.0135       0.031       0.645       0.311              
        23.6        0.52      0.5572      0.0125      0.0117       0.027       0.558       0.235              
        24.5        0.54      0.4617      0.0084      0.0098       0.022       0.469       0.157              
        25.4        0.56      0.2969      0.0042      0.0079       0.018       0.378       0.079              
        26.3        0.58     -0.0042      0.0000      0.0060       0.014       0.289      -0.001              
                                                                                                              
                                                                                                              
                                                                                                              
