                                                                                                              
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust             
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)             
         0.0        0.00      0.0000      0.0972      0.0324       2.729      17.198      20.301              
         3.0        0.02      0.0591      0.0954      0.0322       2.716      17.117      19.917              
         6.0        0.04      0.1164      0.0934      0.0320       2.702      17.028      19.502              
         9.1        0.06      0.1717      0.0913      0.0318       2.686      16.930      19.060              
        12.1        0.08      0.2248      0.0890      0.0316       2.668      16.815      18.590              
        15.1        0.10      0.2757      0.0867      0.0314       2.647      16.682      18.095              
        18.1        0.12      0.3244      0.0842      0.0311       2.622      16.525      17.576              
        21.2        0.14      0.3708      0.0816      0.0307       2.593      16.342      17.031              
        24.2        0.16      0.4150      0.0788      0.0303       2.559      16.130      16.461              
        27.2        0.18      0.4567      0.0760      0.0299       2.522      15.892      15.866              
        30.2        0.20      0.4960      0.0730      0.0294       2.478      15.619      15.243              
        33.3        0.22      0.5330      0.0699      0.0288       2.430      15.318      14.603              
        36.3        0.24      0.5677      0.0668      0.0282       2.377      14.981      13.945              
        39.3        0.26      0.6004      0.0636      0.0275       2.317      14.603      13.270              
        42.3        0.28      0.6310      0.0602      0.0267       2.250      14.183      12.576              
        45.4        0.30      0.6593      0.0568      0.0258       2.177      13.722      11.866              
        48.4        0.32      0.6854      0.0533      0.0249       2.096      13.212      11.135              
        51.4        0.34      0.7094      0.0497      0.0238       2.007      12.650      10.386              
        54.4        0.36      0.7308      0.0461      0.0226       1.910      12.039       9.617              
        57.5        0.38      0.7494      0.0423      0.0214       1.805      11.377       8.828              
        60.5        0.40      0.7644      0.0384      0.0201       1.693      10.671       8.024              
        63.5        0.42      0.7754      0.0345      0.0187       1.573       9.915       7.203              
        66.5        0.44      0.7814      0.0305      0.0171       1.445       9.105       6.363              
        69.6        0.46      0.7809      0.0264      0.0155       1.308       8.245       5.507              
        72.6        0.48      0.7708      0.0222      0.0138       1.162       7.326       4.629              
        75.6        0.50      0.7452      0.0179      0.0120       1.011       6.369       3.735              
        78.6        0.52      0.6943      0.0135      0.0101       0.853       5.374       2.823              
        81.7        0.54      0.5968      0.0091      0.0082       0.691       4.354       1.893              
        84.7        0.56      0.4043      0.0045      0.0063       0.529       3.336       0.948              
        87.7        0.58     -0.0072     -0.0001      0.0044       0.375       2.364      -0.012              
                                                                                                              
                                                                                                              
                                                                                                              
