
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.1124      0.0454       7.602      34.225      35.543
         4.2        0.02      0.0513      0.1124      0.0459       7.693      34.633      35.519
         8.3        0.04      0.1016      0.1123      0.0464       7.770      34.977      35.485
        12.5        0.06      0.1509      0.1108      0.0462       7.748      34.879      35.033
        16.7        0.08      0.1992      0.1090      0.0459       7.698      34.654      34.465
        20.9        0.10      0.2465      0.1068      0.0454       7.618      34.293      33.770
        25.0        0.13      0.2923      0.1040      0.0448       7.505      33.787      32.879
        29.2        0.15      0.3367      0.1009      0.0440       7.373      33.190      31.889
        33.4        0.17      0.3797      0.0976      0.0431       7.229      32.541      30.848
        37.5        0.19      0.4204      0.0942      0.0423       7.087      31.905      29.767
        41.7        0.21      0.4584      0.0906      0.0415       6.949      31.284      28.645
        45.9        0.23      0.4940      0.0870      0.0406       6.811      30.663      27.505
        50.0        0.25      0.5274      0.0833      0.0398       6.665      30.005      26.340
        54.2        0.27      0.5592      0.0795      0.0387       6.494      29.233      25.115
        58.4        0.29      0.5870      0.0756      0.0378       6.342      28.552      23.912
        62.6        0.31      0.6136      0.0716      0.0367       6.156      27.711      22.641
        66.7        0.34      0.6387      0.0674      0.0354       5.934      26.714      21.301
        70.9        0.36      0.6614      0.0630      0.0339       5.689      25.611      19.902
        75.1        0.38      0.6812      0.0583      0.0323       5.413      24.367      18.418
        79.2        0.40      0.6973      0.0534      0.0305       5.114      23.023      16.878
        83.4        0.42      0.7068      0.0485      0.0288       4.825      21.721      15.333
        87.6        0.44      0.7108      0.0435      0.0270       4.522      20.358      13.764
        91.8        0.46      0.7078      0.0385      0.0251       4.208      18.944      12.173
        95.9        0.48      0.6955      0.0334      0.0231       3.878      17.457      10.544
       100.1        0.50      0.6809      0.0279      0.0206       3.460      15.574       8.826
       104.3        0.52      0.6183      0.0226      0.0192       3.211      14.454       7.140
       108.4        0.55      0.5411      0.0170      0.0172       2.878      12.956       5.385
       112.6        0.57      0.4255      0.0113      0.0150       2.513      11.315       3.562
       116.8        0.59      0.2639      0.0057      0.0127       2.135       9.612       1.809
       120.9        0.61      0.0002      0.0000      0.0107       1.801       8.108       0.001



