
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.0974      0.0359       0.473       4.971       5.653
         1.8        0.02      0.0575      0.0956      0.0352       0.464       4.873       5.550
         3.6        0.04      0.1147      0.0937      0.0345       0.456       4.786       5.439
         5.4        0.06      0.1708      0.0916      0.0340       0.449       4.715       5.321
         7.2        0.08      0.2252      0.0895      0.0336       0.443       4.654       5.193
         9.0        0.11      0.2775      0.0871      0.0332       0.438       4.599       5.059
        10.8        0.13      0.3273      0.0847      0.0328       0.433       4.547       4.916
        12.6        0.15      0.3745      0.0821      0.0324       0.428       4.495       4.766
        14.4        0.17      0.4189      0.0794      0.0320       0.423       4.440       4.608
        16.2        0.19      0.4606      0.0765      0.0316       0.417       4.381       4.443
        18.0        0.21      0.4994      0.0736      0.0311       0.411       4.315       4.270
        19.8        0.23      0.5353      0.0705      0.0306       0.404       4.244       4.092
        21.6        0.25      0.5686      0.0673      0.0300       0.396       4.164       3.910
        23.4        0.27      0.5996      0.0641      0.0294       0.388       4.071       3.721
        25.2        0.30      0.6282      0.0608      0.0286       0.378       3.967       3.527
        27.0        0.32      0.6542      0.0573      0.0278       0.367       3.851       3.328
        28.8        0.34      0.6778      0.0538      0.0268       0.354       3.721       3.124
        30.6        0.36      0.6989      0.0502      0.0258       0.340       3.575       2.913
        32.4        0.38      0.7173      0.0464      0.0246       0.325       3.414       2.696
        34.2        0.40      0.7325      0.0426      0.0234       0.308       3.238       2.474
        36.0        0.42      0.7438      0.0387      0.0220       0.290       3.048       2.246
        37.8        0.44      0.7515      0.0347      0.0205       0.270       2.838       2.013
        39.6        0.47      0.7543      0.0306      0.0188       0.249       2.612       1.775
        41.4        0.49      0.7505      0.0264      0.0171       0.226       2.370       1.532
        43.2        0.51      0.7362      0.0222      0.0153       0.201       2.116       1.286
        45.0        0.53      0.7044      0.0178      0.0134       0.177       1.856       1.036
        46.8        0.55      0.6466      0.0135      0.0115       0.151       1.587       0.782
        48.6        0.57      0.5443      0.0090      0.0095       0.125       1.314       0.525
        50.4        0.59      0.3580      0.0045      0.0075       0.099       1.039       0.263
        52.2        0.61     -0.0028      0.0000      0.0056       0.074       0.773      -0.001



