
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.1000      0.0400       1.252       9.861      10.321
         2.4        0.02      0.0541      0.0981      0.0384       1.201       9.463      10.127
         4.8        0.04      0.1101      0.0961      0.0370       1.157       9.112       9.916
         7.2        0.06      0.1665      0.0939      0.0358       1.121       8.831       9.689
         9.6        0.08      0.2221      0.0915      0.0349       1.093       8.609       9.448
        12.0        0.11      0.2760      0.0891      0.0342       1.069       8.425       9.194
        14.4        0.13      0.3277      0.0865      0.0336       1.049       8.268       8.926
        16.9        0.15      0.3768      0.0838      0.0330       1.032       8.127       8.646
        19.3        0.17      0.4230      0.0809      0.0324       1.014       7.992       8.354
        21.7        0.19      0.4664      0.0780      0.0319       0.998       7.859       8.049
        24.1        0.21      0.5066      0.0749      0.0313       0.980       7.722       7.733
        26.5        0.23      0.5438      0.0718      0.0308       0.962       7.581       7.408
        28.9        0.25      0.5784      0.0685      0.0301       0.942       7.425       7.074
        31.3        0.28      0.6108      0.0652      0.0294       0.920       7.248       6.731
        33.7        0.30      0.6409      0.0618      0.0286       0.895       7.047       6.377
        36.1        0.32      0.6689      0.0583      0.0277       0.866       6.822       6.013
        38.5        0.34      0.6945      0.0546      0.0267       0.834       6.574       5.640
        40.9        0.36      0.7177      0.0509      0.0256       0.800       6.299       5.256
        43.3        0.38      0.7381      0.0471      0.0243       0.761       5.999       4.863
        45.8        0.40      0.7557      0.0432      0.0230       0.720       5.674       4.461
        48.2        0.42      0.7698      0.0392      0.0216       0.676       5.323       4.050
        50.6        0.45      0.7804      0.0352      0.0201       0.627       4.943       3.631
        53.0        0.47      0.7860      0.0310      0.0184       0.576       4.535       3.203
        55.4        0.49      0.7850      0.0268      0.0166       0.520       4.098       2.765
        57.8        0.51      0.7735      0.0225      0.0148       0.463       3.651       2.326
        60.2        0.53      0.7439      0.0182      0.0129       0.405       3.189       1.876
        62.6        0.55      0.6871      0.0137      0.0110       0.345       2.715       1.418
        65.0        0.57      0.5829      0.0092      0.0090       0.283       2.228       0.951
        67.4        0.59      0.3896      0.0046      0.0071       0.221       1.738       0.478
        69.8        0.61     -0.0027      0.0000      0.0051       0.160       1.259      -0.002



