
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)
         0.0        0.00      0.0000      0.0963      0.0339       0.259       3.267       3.881
         1.5        0.02      0.0593      0.0946      0.0337       0.257       3.243       3.815
         3.0        0.04      0.1170      0.0928      0.0335       0.255       3.220       3.741
         4.5        0.06      0.1728      0.0908      0.0332       0.254       3.200       3.661
         6.0        0.08      0.2264      0.0887      0.0330       0.252       3.181       3.574
         7.5        0.11      0.2775      0.0864      0.0328       0.251       3.161       3.484
         9.0        0.13      0.3262      0.0841      0.0326       0.249       3.139       3.389
        10.5        0.15      0.3720      0.0815      0.0324       0.247       3.114       3.286
        12.0        0.17      0.4154      0.0789      0.0320       0.245       3.084       3.181
        13.5        0.19      0.4559      0.0761      0.0317       0.242       3.049       3.067
        15.0        0.21      0.4937      0.0732      0.0313       0.239       3.009       2.949
        16.5        0.23      0.5289      0.0702      0.0308       0.235       2.963       2.829
        18.0        0.25      0.5613      0.0670      0.0302       0.231       2.909       2.702
        19.5        0.27      0.5917      0.0638      0.0296       0.226       2.847       2.573
        21.0        0.30      0.6192      0.0605      0.0288       0.220       2.776       2.438
        22.5        0.32      0.6442      0.0571      0.0280       0.214       2.698       2.301
        24.0        0.34      0.6667      0.0536      0.0271       0.207       2.611       2.160
        25.5        0.36      0.6867      0.0500      0.0261       0.199       2.513       2.016
        27.0        0.38      0.7040      0.0463      0.0250       0.191       2.404       1.867
        28.5        0.40      0.7179      0.0425      0.0238       0.181       2.286       1.715
        30.0        0.42      0.7276      0.0387      0.0224       0.171       2.158       1.559
        31.5        0.44      0.7338      0.0347      0.0209       0.160       2.016       1.399
        33.0        0.46      0.7353      0.0306      0.0193       0.148       1.860       1.234
        34.5        0.49      0.7301      0.0264      0.0176       0.134       1.692       1.066
        36.0        0.51      0.7146      0.0222      0.0157       0.120       1.514       0.895
        37.5        0.53      0.6818      0.0179      0.0138       0.106       1.331       0.721
        39.0        0.55      0.6234      0.0135      0.0119       0.091       1.143       0.544
        40.5        0.57      0.5222      0.0091      0.0099       0.075       0.951       0.365
        41.9        0.59      0.3413      0.0045      0.0079       0.060       0.757       0.183
        43.4        0.61     -0.0025      0.0000      0.0059       0.045       0.568      -0.001



